"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"em";"Poppy";"78";"TOP";2924;61;232;107;0.5701;0.0793;0.0366;2.98;"8437";"8401";"8473";"8453";"8400";"8345";"8352";"8300";"5002";"5008";"5008";"12";"4";106;0.99;0.57;"14";"4";"1";"0.01";"1";"1";"3";"2";75;0.7;0.57;"2033";"";"";"";"";"";"";"";55;0.51;0.53;"2033";"3340";"";"";"";"";"";"";40;0.37;0.6;"3047";71;0.66;0.56;"3111";24;0.22;0.67;"6632";"";"";"";"";"";"12";0.11;0.67;"6632";"3068";"";"";"";"";"10";0.09;0.6;"6662";"3068";"";"";"";"";"8";0.07;0.38
"em";"KogMaw";"96";"TOP";2924;0;1;1;0.0;0.0003;0.0003;1.25;"8229";"8226";"8233";"8237";"8200";"8473";"8451";"8400";"5002";"5008";"5005";"12";"4";1;1.0;0.0;"";"";"1";"1";"0";"3";"1";"2";1;1.0;0.0;"1055";"2003";"3340";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3020";1;1.0;0.0;"";1;1.0;0.0;"6653";"3004";"3116";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"em";"MissFortune";"21";"TOP";2924;0;32;1;0.0;0.0109;0.0003;1.22;"8369";"8304";"8345";"8347";"8300";"9103";"8009";"8000";"5002";"5008";"5005";"4";"6";1;1.0;0.0;"";"";"1";"1";"0";"1";"2";"3";1;1.0;0.0;"1036";"2031";"";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3009";1;1.0;0.0;"";1;1.0;0.0;"3142";"6676";"6694";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"em";"Blitzcrank";"53";"TOP";2924;0;1650;1;0.0;0.5643;0.0003;0.33;"8351";"8306";"8345";"8347";"8300";"8234";"8275";"8200";"5002";"5002";"5007";"11";"4";1;1.0;0.0;"";"";"1";"1";"0";"3";"2";"1";1;1.0;0.0;"1055";"2003";"";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3006";1;1.0;0.0;"";1;1.0;0.0;"";"";"";"";"";"";"";0.0;0.0;"";"";"";"";"";"";"";0.0;0.0;"";"";"";"";"";"";"";0.0;0.0
"em";"Quinn";"133";"TOP";2924;34;136;67;0.5075;0.0465;0.0229;2.49;"8021";"8009";"9104";"8017";"8000";"8233";"8237";"8200";"5002";"5008";"5005";"14";"4";51;0.76;0.49;"4";"6";"3";"0.04";"1";"2";"1";"3";48;0.72;0.48;"1036";"2031";"3340";"";"";"";"";"";22;0.33;0.5;"1036";"2031";"";"";"";"";"";"";15;0.22;0.67;"3006";49;0.73;0.49;"3009";5;0.07;0.8;"3087";"6671";"";"";"";"";"9";0.13;0.56;"3087";"";"";"";"";"";"8";0.12;0.5;"3087";"3142";"";"";"";"";"6";0.09;0.33
"em";"AurelionSol";"136";"TOP";2924;3;6;4;0.75;0.0021;0.0014;2.91;"8229";"8226";"8210";"8236";"8200";"8304";"8316";"8300";"5002";"5008";"5008";"12";"4";4;1.0;0.75;"";"";"1";"0.25";"0";"1";"3";"2";2;0.5;0.5;"3850";"3070";"3340";"2003";"";"";"";"";1;0.25;1.0;"1056";"2003";"2003";"3340";"";"";"";"";1;0.25;1.0;"3020";3;0.75;0.67;"";1;0.25;0.0;"6653";"3116";"";"";"";"";"1";0.25;1.0;"3116";"6653";"3157";"";"";"";"1";0.25;1.0;"3116";"3003";"";"";"";"";"1";0.25;1.0
"em";"Renekton";"58";"TOP";2924;123;298;250;0.492;0.1019;0.0855;2.76;"8010";"9111";"9104";"8299";"8000";"8473";"8242";"8400";"5002";"5008";"5008";"12";"4";212;0.85;0.5;"14";"4";"30";"0.12";"0.5";"1";"3";"2";203;0.81;0.52;"1054";"2003";"";"";"";"";"";"";85;0.34;0.54;"1054";"2003";"3340";"";"";"";"";"";71;0.28;0.51;"3047";176;0.7;0.5;"3111";54;0.22;0.48;"6630";"";"";"";"";"";"39";0.16;0.38;"6630";"3071";"";"";"";"";"33";0.13;0.55;"6630";"3071";"3053";"";"";"";"17";0.07;0.53
"em";"Ahri";"103";"TOP";2924;2;53;3;0.6667;0.0181;0.001;2.75;"8214";"8226";"8233";"8237";"8200";"8210";"8237";"8200";"5002";"5008";"5008";"12";"4";2;0.67;0.5;"14";"4";"1";"0.33";"0";"2";"1";"3";3;1.0;0.67;"1056";"2003";"2003";"";"";"";"";"";1;0.33;1.0;"1056";"2003";"2003";"3340";"";"";"";"";1;0.33;1.0;"3020";1;0.33;1.0;"3158";1;0.33;1.0;"6655";"";"";"";"";"";"1";0.33;1.0;"6653";"4628";"3157";"3041";"";"";"1";0.33;1.0;"3078";"";"";"";"";"";"1";0.33;0.0
"em";"Hecarim";"120";"TOP";2924;1;16;1;1.0;0.0055;0.0003;2.25;"8010";"8009";"9104";"8299";"8000";"8473";"8453";"8400";"5002";"5008";"5008";"12";"14";1;1.0;1.0;"";"";"1";"1";"0";"1";"2";"3";1;1.0;1.0;"1036";"2031";"3340";"";"";"";"";"";1;1.0;1.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3047";1;1.0;1.0;"";1;1.0;0.0;"3161";"3004";"";"";"";"";"1";1.0;1.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"em";"Zac";"154";"TOP";2924;30;42;48;0.625;0.0144;0.0164;4.77;"8437";"8446";"8444";"8453";"8400";"9105";"8299";"8000";"5002";"5002";"5005";"12";"4";42;0.88;0.67;"14";"4";"5";"0.1";"0.4";"2";"3";"1";37;0.77;0.59;"1054";"2003";"";"";"";"";"";"";27;0.56;0.63;"1054";"2003";"3340";"";"";"";"";"";17;0.35;0.65;"3047";19;0.4;0.58;"3158";14;0.29;0.79;"6667";"";"";"";"";"";"4";0.08;0.75;"6667";"3068";"";"";"";"";"3";0.06;0.67;"6665";"";"";"";"";"";"3";0.06;0.33
