"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"gold";"Poppy";"78";"TOP";2862;25;137;48;0.5208;0.0479;0.0168;3.13;"8437";"8401";"8473";"8453";"8400";"8345";"8352";"8300";"5002";"5008";"5008";"12";"4";47;0.98;0.53;"14";"4";"1";"0.02";"0";"1";"3";"2";19;0.4;0.74;"2033";"";"";"";"";"";"";"";22;0.46;0.64;"2033";"3340";"";"";"";"";"";"";19;0.4;0.42;"3047";36;0.75;0.53;"3111";9;0.19;0.56;"6632";"";"";"";"";"";"6";0.12;0.33;"6662";"";"";"";"";"";"5";0.1;0.2;"6632";"3068";"4401";"";"";"";"4";0.08;0.5
"gold";"Blitzcrank";"53";"TOP";2862;2;1364;2;1.0;0.4766;0.0007;2.38;"8112";"8126";"8138";"8106";"8100";"8226";"8210";"8200";"5002";"5008";"5007";"14";"4";2;1.0;1.0;"";"";"1";"0.5";"0";"1";"3";"2";2;1.0;1.0;"1082";"2003";"1082";"2031";"";"";"";"";1;0.5;1.0;"3070";"2003";"2003";"3340";"";"";"";"";1;0.5;1.0;"3020";1;0.5;1.0;"3117";1;0.5;1.0;"6655";"";"";"";"";"";"1";0.5;1.0;"3119";"";"";"";"";"";"1";0.5;1.0;"";"";"";"";"";"";"1";0.5;0.0
"gold";"MissFortune";"21";"TOP";2862;0;55;1;0.0;0.0192;0.0003;1.67;"8369";"8304";"8345";"8347";"8300";"8233";"8236";"8200";"5002";"5008";"5008";"12";"4";1;1.0;0.0;"";"";"1";"1";"0";"3";"2";"1";1;1.0;0.0;"3070";"1056";"3340";"2003";"2003";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3020";1;1.0;0.0;"";1;1.0;0.0;"6653";"3003";"4645";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"gold";"Quinn";"133";"TOP";2862;39;135;60;0.65;0.0472;0.021;2.99;"8021";"8009";"9104";"8017";"8000";"8233";"8237";"8200";"5002";"5008";"5005";"14";"4";49;0.82;0.65;"12";"4";"6";"0.1";"0.67";"2";"1";"3";26;0.43;0.73;"1036";"2031";"";"";"";"";"";"";12;0.2;0.58;"1036";"2031";"3340";"";"";"";"";"";11;0.18;0.55;"3006";43;0.72;0.63;"3047";7;0.12;0.71;"3087";"6671";"";"";"";"";"9";0.15;0.33;"3087";"6671";"3036";"";"";"";"8";0.13;0.75;"3087";"3142";"6676";"";"";"";"3";0.05;0.67
"gold";"AurelionSol";"136";"TOP";2862;2;21;3;0.6667;0.0073;0.001;5.83;"8229";"8226";"8210";"8236";"8200";"8304";"8316";"8300";"5003";"5008";"5008";"12";"4";3;1.0;0.67;"";"";"1";"0.33";"0";"1";"3";"2";2;0.67;1.0;"3070";"2003";"2003";"";"";"";"";"";2;0.67;0.5;"1056";"2003";"2003";"3340";"";"";"";"";1;0.33;1.0;"3111";1;0.33;1.0;"3020";1;0.33;1.0;"6657";"3116";"3003";"";"";"";"1";0.33;1.0;"6657";"3116";"4645";"";"";"";"1";0.33;1.0;"6657";"";"";"";"";"";"1";0.33;0.0
"gold";"Renekton";"58";"TOP";2862;91;210;173;0.526;0.0734;0.0604;2.59;"8010";"9111";"9104";"8299";"8000";"8473";"8242";"8400";"5002";"5008";"5008";"12";"4";142;0.82;0.53;"14";"4";"22";"0.13";"0.5";"1";"3";"2";140;0.81;0.53;"1054";"2003";"";"";"";"";"";"";63;0.36;0.49;"1054";"2003";"3340";"";"";"";"";"";48;0.28;0.52;"3047";102;0.59;0.51;"3111";51;0.29;0.57;"6630";"3071";"";"";"";"";"22";0.13;0.45;"6630";"";"";"";"";"";"19";0.11;0.42;"6630";"3071";"3053";"";"";"";"10";0.06;0.5
"gold";"Ahri";"103";"TOP";2862;0;87;3;0.0;0.0304;0.001;0.87;"8112";"8139";"8138";"8106";"8100";"8226";"8210";"8200";"5003";"5008";"5005";"14";"4";2;0.67;0.0;"12";"4";"1";"0.33";"0";"1";"2";"3";2;0.67;0.0;"1056";"2003";"2003";"";"";"";"";"";1;0.33;0.0;"3850";"2003";"2003";"3340";"1056";"2003";"2003";"3340";1;0.33;0.0;"3020";2;0.67;0.0;"";1;0.33;0.0;"6656";"4645";"";"";"";"";"2";0.67;0.0;"6656";"";"";"";"";"";"1";0.33;0.0;"";"";"";"";"";"";"1";0.33;0.0
"gold";"Hecarim";"120";"TOP";2862;0;11;3;0.0;0.0038;0.001;0.71;"8010";"8009";"9105";"8014";"8000";"8429";"8453";"8400";"5002";"5008";"5008";"12";"6";2;0.67;0.0;"4";"6";"1";"0.33";"0";"1";"2";"3";1;0.33;0.0;"3070";"2003";"2003";"";"";"";"";"";1;0.33;0.0;"2033";"1054";"2003";"1055";"2003";"";"";"";1;0.33;0.0;"3158";2;0.67;0.0;"3047";1;0.33;0.0;"3161";"3004";"6333";"";"";"";"1";0.33;0.0;"6630";"";"";"";"";"";"1";0.33;0.0;"6632";"3004";"";"";"";"";"1";0.33;0.0
"gold";"Corki";"42";"TOP";2862;0;1;1;0.0;0.0003;0.0003;0.78;"8369";"8304";"8345";"8347";"8300";"8473";"8451";"8400";"5002";"5008";"5005";"12";"4";1;1.0;0.0;"";"";"1";"1";"0";"1";"2";"3";1;1.0;0.0;"1083";"2003";"3340";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3020";1;1.0;0.0;"";1;1.0;0.0;"3004";"3087";"3078";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"gold";"Zac";"154";"TOP";2862;25;38;38;0.6579;0.0133;0.0133;5.82;"8437";"8446";"8444";"8453";"8400";"8299";"9105";"8000";"5002";"5002";"5005";"12";"4";34;0.89;0.71;"14";"4";"2";"0.05";"0.5";"2";"3";"1";29;0.76;0.76;"1054";"2003";"3340";"";"";"";"";"";21;0.55;0.67;"1054";"2003";"";"";"";"";"";"";11;0.29;0.64;"3047";20;0.53;0.65;"3111";6;0.16;0.83;"3068";"6667";"";"";"";"";"6";0.16;0.67;"3068";"6667";"3075";"";"";"";"3";0.08;1.0;"3068";"";"";"";"";"";"3";0.08;0.33
