matchId,puuid,summonerName,summonerLevel,win,gameMode,gameDuration,teamPosition,championName,championId,champLevel,assists,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,kills,pentaKills,quadraKills,tripleKills,item0,item1,item2,item3,item4,item5,item6,defense,flex,offense,prim1_perk,prim1_var1,prim1_var2,prim1_var3,prim2_perk,prim2_var1,prim2_var2,prim2_var3,prim3_perk,prim3_var1,prim3_var2,prim3_var3,prim4_perk,prim4_var1,prim4_var2,prim4_var3,prim_style,sub1_perk,sub1_var1,sub1_var2,sub1_var3,sub2_perk,sub2_var1,sub2_var2,sub2_var3,sub_style,summoner1Id,summoner2Id,totalDamageDealtToChampions,totalDamageTaken,totalMinionsKilled,totalEnemyJungleMinionsKilled,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
KR_6675570565,BNz9aTrDr0oNblH6Fl__OnwFA0YaOdBm7zkxGju3z812GRXPBcWai-_J4H_qPv8JnmKqEjOTey9VDQ,xicy ,51,True,ARAM,889,,Draven,119,16,31,False,False,False,False,8,0,0,0,3508,3006,3074,3031,1018,1037,0,5002,5008,5005,8008,41,3,0,8009,1545,0,0,9103,7,20,0,8014,587,0,0,8000,8139,753,0,0,8135,450,5,0,8100,7,4,24348,17271,68,0,0,0,0,0
KR_6675570565,pQtSznEP_0iYi0XuTd_6UzPFByl0G1GNLLP8ZYq3FFJ94ABDuQbfTVrHamgSfTNJvqnQbZKvo5MEMg,편지야맵좀봐,244,True,ARAM,889,,Rumble,68,16,29,False,False,False,False,13,0,0,0,3916,0,3020,3089,4645,4636,2052,5002,5008,5008,8128,2078,30,0,8126,857,0,0,8138,30,0,0,8106,5,0,0,8100,8236,24,0,0,8210,19,0,0,8200,32,4,33006,21936,31,0,0,0,0,0
KR_6675570565,UzEkXrymGl2d4W06ShXgFhG7h3sfRQpjC4lGc0EwbuSFAmKQapldJ-yMpMcS3D8fYp5n5hiLx8lXuw,짱 츠,472,True,ARAM,889,,Vi,254,15,19,False,False,False,False,10,0,0,0,6691,6676,3133,3047,1036,1028,2052,5002,5008,5005,8010,126,0,0,9111,704,290,0,9105,7,10,0,8014,578,0,0,8000,8143,519,0,0,8106,5,0,0,8100,4,32,15923,18804,8,0,0,0,0,0
KR_6675570565,ES_R-rqlErPnhV7aKbYxX-DGjvV_h1vtiCNzq-XLhv-bsFE6twUJPNZfCy-2EYjZBNyYnLNJVZqrgg,초록색세나,305,True,ARAM,889,,Kayle,10,16,29,False,False,False,False,13,0,0,0,3006,3124,3115,3153,0,0,2052,5002,5008,5005,8008,100,13,0,8009,2798,0,0,9104,5,40,0,8014,1011,0,0,8000,8234,5527,0,0,8236,24,0,0,8200,4,6,25481,15243,40,0,0,0,0,0
KR_6675570565,OD0ATCPWZHJngjrRs8ryjlyzJJAHLviYV3HOF-wfFUSDvt4UHJnKiPS7HMtQJOWZlU2sX73wpkceWw,평 Q 딸깍 세워,383,True,ARAM,889,,Zac,154,16,29,False,False,False,False,6,0,0,0,2051,3083,3047,6665,3082,1011,2052,5003,5002,5007,8439,1597,2054,0,8463,3102,0,0,8429,45,15,12,8453,2798,0,0,8400,9105,7,20,0,9111,2526,350,0,8000,32,4,19633,46604,21,0,0,0,0,0
KR_6675570565,Aj899H716xO4nq17G3_1PC5IZdWa8UjppHd9Zh9X1Zg447zwWIFk6ZrQVr6p3-aLrjP-kPN7mGhOQQ,윤 럽 린,814,False,ARAM,889,,Jhin,202,15,20,False,True,True,False,8,0,0,0,6671,3009,3094,3095,1036,0,2052,5002,5008,5008,8021,2438,2050,0,8009,1946,0,0,9103,6,50,0,8014,646,0,0,8000,8234,5414,0,0,8236,14,0,0,8200,6,4,17981,20104,51,0,0,0,0,0
KR_6675570565,prLgWQLQmQaZ9x6T2cxWa2wTwwHE_1kCmryZheUn3bzHuDVbUUk1_VuhIm7eDK-gH1mv2DraR6fmqw,둉몽콩,534,False,ARAM,889,,Thresh,412,15,29,True,False,True,False,7,0,0,0,2051,3121,3084,3111,1011,3067,2052,5001,5002,5007,8437,929,550,0,8463,2411,0,0,8429,45,12,11,8451,295,0,0,8400,9105,4,20,0,8009,3314,0,0,8000,32,4,17341,30443,16,0,0,0,0,0
KR_6675570565,UrQzFSkKwBrwWvDpVhW5tvjFl4w4XpL1O9dZ4GazJpVSJCFUz37nxV_nfS6XxTAqDBzB1a5UjsANqA,츄르민,146,False,ARAM,889,,Jax,24,15,15,True,False,False,True,17,0,0,1,2051,3047,6632,3153,4401,1029,2052,5002,5008,5005,8010,658,0,0,8009,2632,0,0,9104,4,50,0,8299,1395,0,0,8000,8444,1110,0,0,8451,213,0,0,8400,32,4,27097,31472,34,0,0,0,0,0
KR_6675570565,clee7RIU_Ihbg3WnoiCZhsfteEiwqThIJJE2RA5gzS4msQdTmxYke8lBjQW1YitFUQGOOm7Iy7YC8g,ARABIRD,436,False,ARAM,889,,Samira,360,15,21,True,False,False,False,9,0,0,0,6676,3111,3031,6673,0,0,2052,5002,5008,5005,8010,571,0,0,9111,985,300,0,9103,7,40,0,8014,621,0,0,8000,8234,3280,0,0,8275,10,0,0,8200,6,4,26135,22548,40,0,0,0,0,0
KR_6675570565,mAVVyz7zTd436Q8vxKYDmETraqXkNDDOz98LX-qvCLFDDwQEu9BkEdBrHExXp66cslHTtX6o43s7Gw,B코마치 루비 fan,425,False,ARAM,889,,Amumu,32,15,24,False,False,False,False,3,0,0,0,3145,3158,6653,3157,1058,0,2052,5003,5008,5008,8369,888,856,0,8306,3,0,0,8321,0,0,0,8347,0,0,0,8300,8106,5,0,0,8126,780,0,0,8100,32,4,22169,20519,26,0,0,0,0,0
KR_6675674412,gb2Wyzb2_1HlAxGzqWwcoOHJ-BfWtcVriGWylEwKf5ehjbF6OYw-en3n5-kPZo13Nz_a5Tuf0putEw,뭘그래뻐이보노,424,False,ARAM,996,,KogMaw,96,15,7,True,False,False,False,15,0,0,0,6672,3085,3143,3124,1036,3006,2052,5002,5008,5005,8008,76,6,0,9111,911,220,0,9103,10,0,0,8017,568,0,0,8000,8429,51,13,10,8451,204,0,0,8400,4,6,23958,20593,92,0,0,0,0,0
KR_6675674412,bApSEYzo1rHa_0jnshFnaDfu4_5RhBKsuXTAwmQExNuGSTGnAvY8aLh-mMKzr5tm65EeN2LRvhIXuA,예쿙잉,393,False,ARAM,996,,Seraphine,147,15,21,True,False,False,False,3,0,0,0,6620,3070,3158,3116,3504,3067,2052,5002,5008,5008,8214,687,922,0,8226,250,213,0,8210,25,0,0,8237,393,0,0,8200,8009,2537,0,0,8014,404,0,0,8000,4,3,8993,23624,17,0,0,0,0,0
KR_6675674412,0eKjg0RR5j-yfCHU8LduQRZ7g8l7NIw9CTDTNf1t4Gct4uHG5p-DLnp8ZWDKD4SSdqcrwv19utzQrQ,태 끼,612,False,ARAM,996,,Zac,154,14,18,False,True,False,False,4,0,0,0,2031,2051,3047,3083,3084,1028,2052,5002,5008,5005,8439,1545,1910,0,8446,534,0,0,8473,539,0,0,8242,131,0,0,8400,9111,943,220,0,8014,197,0,0,8000,32,4,13461,42229,8,0,0,0,0,0
