matchId,puuid,summonerName,summonerLevel,win,gameMode,gameDuration,teamPosition,championName,championId,champLevel,assists,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,kills,pentaKills,quadraKills,tripleKills,item0,item1,item2,item3,item4,item5,item6,defense,flex,offense,prim1_perk,prim1_var1,prim1_var2,prim1_var3,prim2_perk,prim2_var1,prim2_var2,prim2_var3,prim3_perk,prim3_var1,prim3_var2,prim3_var3,prim4_perk,prim4_var1,prim4_var2,prim4_var3,prim_style,sub1_perk,sub1_var1,sub1_var2,sub1_var3,sub2_perk,sub2_var1,sub2_var2,sub2_var3,sub_style,summoner1Id,summoner2Id,totalDamageDealtToChampions,totalDamageTaken,totalMinionsKilled,totalEnemyJungleMinionsKilled,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
KR_6675243475,sBZ_MdN6OO5-4andXlBMEV_uEEyLV0-UZUMkllrt4v99cPSKylKNNSl45tc2lQ1itRWPkl0NaGfn5w,미드서폿원딜탑,445,True,ARAM,1442,,LeeSin,64,18,48,False,False,False,False,9,0,0,0,6630,3158,3071,6333,3156,3133,2052,5002,5008,5005,8010,1178,0,0,9111,3171,570,0,9105,4,30,0,8299,1622,0,0,8000,8429,66,13,12,8453,1868,4341,0,8400,4,32,42053,49425,32,0,0,0,0,0
KR_6675243475,wDtBr3UjRQR5TNsVTy4_TDwpTk6-XGbMPT3EKJKnzjddV9PrBljYx1c3jy8fyVxytWrctsiTRVZCaw,케로로vs렝가,304,True,ARAM,1442,,Orianna,61,18,61,False,False,True,False,1,0,0,0,3089,6617,3107,3158,6616,3504,2052,5002,5008,5007,8214,721,4733,0,8226,250,1590,0,8210,30,0,0,8236,80,0,0,8200,8304,4,0,0,8347,0,0,0,8300,6,4,10636,16846,39,0,0,0,0,0
KR_6675243475,G7j-EDw9CogUriauPrA-tGD8xTIhBzlOTKFYu_o1bYLm2Vcq-Nbaha0prDq7QZaun-fWTg8-MfVONg,라면볶이맛있다,297,True,ARAM,1442,,Vayne,67,18,26,False,False,False,False,29,0,1,5,3085,3139,3153,3124,3087,3006,2052,5001,5008,5005,8008,266,60,0,9111,2781,550,0,9104,5,0,0,8014,2206,0,0,8000,8429,66,12,12,8451,302,0,0,8400,4,6,100125,33412,136,0,0,0,0,0
KR_6675243475,Oc18bxObUIn5a4IuMSy4B1OLWGCOsZ-78UCk7__eH14__4VGR0wseOlRLXZ-ZZi2BfGKd530w1P7Ww,야옹야옹송아지,142,True,ARAM,1442,,Yone,777,18,29,False,False,True,False,16,0,0,0,3006,6672,3031,6673,3072,3153,0,5002,5008,5005,8008,56,6,0,9111,1673,450,0,9104,5,40,0,8299,1898,0,0,8000,8473,1316,0,0,8242,170,0,0,8400,32,4,51003,33445,86,0,0,0,0,0
KR_6675243475,wQEKHl6sUwHApuwE0tEPrGKA5DT1o5CZPW9V2TcTVFUwKAhi7fk-GsSAm4qm2R5az4YgG8ARdg6HXg,흐후읏짜,391,True,ARAM,1442,,Nidalee,76,18,21,False,False,False,True,19,0,0,0,3020,4630,4645,3100,3089,6655,2052,5002,5008,5008,8128,1985,30,0,8139,1153,0,0,8138,30,0,0,8135,450,5,0,8100,8009,5034,0,0,8014,1482,0,0,8000,32,4,38042,20973,20,0,0,0,0,0
KR_6675243475,lOzW6b8QjEjUH5_G6s5NAU911EMOUbiWL6EyafIHa_xewImJ2yiz7hcGUvWo1JuDwp5yPE4HidIBxw,Whistle Bird,445,False,ARAM,1442,,Elise,60,18,22,True,False,False,False,13,0,0,0,6655,3157,3089,3020,3100,3135,2052,5002,5008,5008,8229,3390,0,0,8226,250,1514,0,8210,28,0,0,8236,80,0,0,8200,9111,1307,350,0,8014,869,0,0,8000,32,4,38119,33559,55,0,0,0,0,0
KR_6675243475,H5Nxlqd8lYrywX0KWLpIwSs-AJ5L_hLhJUY7q90l36tZmRlnBPVT1fKUHHlDxd0PDYeNDVnzD0w64w,아프다 임마,397,False,ARAM,1442,,TahmKench,223,18,24,True,False,False,False,7,0,0,0,1057,3111,3075,3068,3083,3084,0,5002,5003,5005,8437,2025,1356,0,8401,718,0,0,8444,4499,0,0,8451,394,0,0,8400,9105,4,30,0,9111,2404,310,0,8000,32,4,21810,92245,49,0,0,0,0,0
KR_6675243475,otqCAec_uAD5Uq3r4kBzrsLqJqIcvnbpnIUfAYjbENrrMXi5XomrDZ5oy9Z1NuL95NzEB0LsLgykAg,영진각딸배,229,False,ARAM,1442,,Neeko,518,18,28,True,False,False,False,11,0,0,0,3157,3020,4645,6655,3165,0,2052,5002,5008,5008,8128,1866,30,0,8126,1129,0,0,8138,30,0,0,8106,5,0,0,8100,8009,4456,0,0,8014,943,0,0,8000,4,32,34028,34476,42,0,0,0,0,0
KR_6675243475,eAp8cQu_SwwzRlP59erUzqq5Vav1aRbV_G7mV0cizGDJ_T2vYsyCELaGLrGTt5n7ie3BqfEPfsB6PQ,아니걍해,347,False,ARAM,1442,,Darius,122,18,26,False,True,False,False,12,0,0,1,6630,6333,3047,3742,4401,3075,2052,5002,5008,5005,8010,267,0,0,9111,2332,380,0,9105,4,40,0,8299,1621,0,0,8000,8139,1229,0,0,8135,450,5,0,8100,6,4,25692,58654,100,0,0,0,0,0
KR_6675243475,sH869yW3EtEuu0DEIMdZpToEdq0EFQyXsslnaO4RN_WSXE2UIPo2qPhQ_2xkfl7L_JMhxKITG5YGkQ,llllIIlIIIlIlI,441,False,ARAM,1442,,Teemo,17,18,26,True,False,False,False,7,0,0,0,6653,3047,3115,3165,1011,1026,2052,5002,5008,5005,8008,32,11,0,8009,3886,0,0,9104,2,50,0,8014,557,0,0,8000,8139,1664,0,0,8106,5,0,0,8100,21,4,19590,33391,61,0,0,0,0,0
