matchId,puuid,summonerName,summonerLevel,win,gameMode,gameDuration,teamPosition,championName,championId,champLevel,assists,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,kills,pentaKills,quadraKills,tripleKills,item0,item1,item2,item3,item4,item5,item6,defense,flex,offense,prim1_perk,prim1_var1,prim1_var2,prim1_var3,prim2_perk,prim2_var1,prim2_var2,prim2_var3,prim3_perk,prim3_var1,prim3_var2,prim3_var3,prim4_perk,prim4_var1,prim4_var2,prim4_var3,prim_style,sub1_perk,sub1_var1,sub1_var2,sub1_var3,sub2_perk,sub2_var1,sub2_var2,sub2_var3,sub_style,summoner1Id,summoner2Id,totalDamageDealtToChampions,totalDamageTaken,totalMinionsKilled,totalEnemyJungleMinionsKilled,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
KR_6529747345,ivx8uQs6cwc1gXB9a32-qfGrWxjfQA5onNFMHYBIcDF4GZgpB8g9SwDrMs2EPF0NxYDoCX61ukxvQg,씹년의 호흡,164,True,ARAM,1340,,Janna,40,18,50,False,False,True,False,4,0,0,0,6620,3011,3040,4005,3112,3158,2052,5002,5008,5007,8229,2337,0,0,8226,250,1210,0,8210,41,0,0,8236,48,0,0,8200,8126,806,0,0,8134,2,5,0,8100,6,4,14277,25123,36,0,0,0,0,0
KR_6529747345,U-_d1MeqGj-1cra2aQ2hcrmqPz-n3OQoUS55Ybp53UOpDRgORh0SjM4DCkYs5ZZ_82YiwYC8sLqdRw,도랑게이,639,True,ARAM,1340,,Anivia,34,18,33,False,False,False,True,11,0,0,0,3040,6657,3020,4645,3089,1026,2052,5001,5008,5008,8229,3249,0,0,8226,250,1652,0,8210,44,0,0,8237,811,0,0,8200,8126,2010,0,0,8135,450,5,0,8100,6,4,38522,43897,60,0,0,0,0,0
KR_6529747345,uQ8IOb7NDLZsP8O-Xbx-LF3a2qHALg0BSgk1LHKJ006lPJy6g1cKVboSND7M25RjlwRt4kIbZzCGyQ,쫑 난,665,True,ARAM,1340,,Varus,110,18,29,False,False,False,False,19,0,0,0,3042,6691,3158,6676,6694,3134,2052,5002,5008,5008,8128,2553,36,0,8126,1106,0,0,8138,18,0,0,8106,5,0,0,8100,8236,28,0,0,8210,71,0,0,8200,1,4,43303,21017,40,0,0,0,0,0
KR_6529747345,afxSYzm7Lt2KOwMzZ3Rw32ogWivW8d-TXiOmLlT4z_S8VciWALTowtWrn2B6C_-qvVHHLItYfhPZeQ,쭝 난,308,True,ARAM,1340,,Shyvana,102,18,18,False,False,False,False,13,0,0,1,6655,3020,3135,3089,4637,1052,0,5002,5008,5008,8128,2547,27,0,8143,635,0,0,8138,30,0,0,8135,450,5,0,8100,8014,1059,0,0,9111,1554,310,0,8000,32,4,32893,27815,60,0,0,0,0,0
KR_6529747345,REUu9kR2PoHYNs1Sy4suffLcUsfLYperzPX1KTPB1BwbN6Pl7OKwAGxZ8cduMGpBBXi86cLf4TRhCw,쯩 난,264,True,ARAM,1340,,Zed,238,18,18,False,False,False,False,17,0,0,0,6691,3074,3158,6694,3814,1036,2052,5002,5008,5008,8112,1795,0,0,8143,793,0,0,8138,18,0,0,8106,5,0,0,8100,8014,881,0,0,8009,985,0,0,8000,32,4,34532,24820,74,0,0,0,0,0
KR_6529747345,ILoxByAeoJAzzc_-n58C5H_IWAHN9xrWHAfxd5kgax9jxEdFTEDeoWT2QsTf-uLEZ6WBA2tZX1jwrw,칼바람틀딱,256,False,ARAM,1340,,Brand,63,18,24,True,False,False,False,15,0,0,0,6653,3157,3020,4005,4637,3116,2052,5001,5008,5007,8128,2447,33,0,8126,1433,0,0,8138,30,0,0,8135,450,5,0,8100,8009,4878,0,0,8014,979,0,0,8000,32,4,42628,34208,73,0,0,0,0,0
KR_6529747345,XMafj-7SUTM0zx6W85Y4VBSR90qGHlm-P09x3GuAMQRh36ol0VEi4KgQSJUYnA6d9jgyfu8y9dfJ2Q,영 적,608,False,ARAM,1340,,Ashe,22,18,23,False,True,False,False,14,0,0,1,3124,3085,3006,3153,3091,6673,2052,5003,5008,5005,8008,82,21,0,8009,2600,0,0,9103,6,20,0,8017,1298,0,0,8000,8304,3,3,0,8410,146,0,0,8300,6,4,30813,31350,111,0,6,0,0,0
KR_6529747345,gFUtccm8I2YLc3wuK2hY6kScreR4nhsGZZuxq8XlGVT2eNz9Inj8gOgRcTREes6hj9YzrWca_yHdzQ,매우날카로움,46,False,ARAM,1340,,Blitzcrank,53,18,22,True,False,False,False,4,0,0,0,6656,3111,3083,3075,3082,3024,2052,5001,5002,5007,8351,95,1344,0,8306,3,0,0,8321,1,0,0,8347,0,0,0,8300,8014,280,0,0,8009,3027,0,0,8000,32,4,15701,41922,12,0,0,0,0,0
KR_6529747345,iOrnZpUxcn3rMkBcLKjXmAyZQ-xX8_BZHuSBPuSJbkMVgl29ZJdZbOyoObVCDXBylrLX5U1A4D7kPQ,싱싱미역입니다,518,False,ARAM,1340,,Shaco,35,18,16,True,False,False,False,10,0,0,0,6655,3157,4645,3100,3020,1058,2052,5001,5008,5008,8128,1530,23,0,8143,928,0,0,8138,30,0,0,8106,5,0,0,8100,8009,3984,0,0,8014,746,0,0,8000,32,4,27305,25478,35,0,0,0,0,0
KR_6529747345,mB-_ivUg3Y3PHXlk4ZGLlmXTj9R4lr0VdieZJBVcfKd9DNqkYrnLTFi__1KieUjvxgqCfn5U2HkAiA,아케나톤y,214,False,ARAM,1340,,JarvanIV,59,18,34,True,False,False,False,5,0,0,0,6630,3111,6333,3065,3075,0,0,5002,5008,5005,8010,292,0,0,9111,1535,390,0,9104,4,0,0,8014,423,0,0,8000,8143,610,0,0,8135,450,5,0,8100,32,4,20392,41663,22,0,0,0,0,0
