matchId,puuid,summonerName,summonerLevel,win,gameMode,gameDuration,teamPosition,championName,championId,champLevel,assists,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,kills,pentaKills,quadraKills,tripleKills,item0,item1,item2,item3,item4,item5,item6,defense,flex,offense,prim1_perk,prim1_var1,prim1_var2,prim1_var3,prim2_perk,prim2_var1,prim2_var2,prim2_var3,prim3_perk,prim3_var1,prim3_var2,prim3_var3,prim4_perk,prim4_var1,prim4_var2,prim4_var3,prim_style,sub1_perk,sub1_var1,sub1_var2,sub1_var3,sub2_perk,sub2_var1,sub2_var2,sub2_var3,sub_style,summoner1Id,summoner2Id,totalDamageDealtToChampions,totalDamageTaken,totalMinionsKilled,totalEnemyJungleMinionsKilled,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
KR_6677165895,vSkJRIohcXGMdgGiVNXSUXwGni598ZkVCHwo1rEFaetNsGOySAHLq8-wqqpGrddzodVSaDUXpp3W-Q,버빵이,464,False,CLASSIC,1128,TOP,KSante,897,10,2,False,False,False,False,2,0,0,0,1054,1011,1028,3076,6662,1001,3364,5002,5003,5005,8437,509,316,0,8446,1473,0,0,8473,846,0,0,8242,144,0,0,8400,8345,3,0,0,8347,0,0,0,8300,12,4,7451,16521,117,0,15,3,1,8
KR_6677165895,nmsCUrnZiFxmaBvwsLPs76ip3CsDMP9IpC5xDCG2fkq5_3Knl79YNmCdVDpHJVXBsEBTgAnC5fx_pQ,시적 표현,575,False,CLASSIC,1128,JUNGLE,Shaco,35,10,4,False,False,False,False,2,0,0,0,2055,3009,3134,3133,1102,3179,3364,5001,5008,5005,9923,16,59,0,8143,179,0,0,8136,7,14,0,8135,210,3,0,8100,9111,277,120,0,9104,15,20,0,8000,14,11,6207,14130,20,10,24,3,7,9
KR_6677165895,iHN9TsJAJFfb0k_gaNWZ7-EmhxPVK2DbETxUFdR1S4t0lWAM2JioNV0hisNeoFgfoG50oj_0h6MEcw,banye kami,160,False,CLASSIC,1128,MIDDLE,Leblanc,7,12,3,False,False,False,False,3,0,0,0,1052,3087,3145,3108,1082,3111,3364,5003,5008,5005,8021,1531,1185,0,8009,754,0,0,9104,14,10,0,8014,207,0,0,8000,8446,1203,0,0,8473,665,0,0,8400,12,4,12435,13369,155,0,15,1,4,5
KR_6677165895,CRtlUYbJril_mNaSGkoYPl4PFRiufCFI4KW_oA2rVOrvxXRhra4el2XvdUj_gYwTOV4_QKfQ_yesXg,낭만 영원히,141,False,CLASSIC,1128,BOTTOM,Nilah,895,10,1,False,False,False,False,1,0,0,0,2031,6671,0,3134,1055,1001,3363,5002,5008,5005,8010,90,0,0,9111,66,40,0,9103,0,0,0,8299,218,0,0,8000,8345,3,0,0,8347,0,0,0,8300,4,6,6159,11001,137,0,14,3,0,9
KR_6677165895,pmC2QEUdaGWMNKI2jw1XI3uOdxRZl1bRH0o6pYpFuUAtvEOl48LwwSsurXgAb2QMzPopyY8jJm7esA,멘탈잡자냥3,93,False,CLASSIC,1128,UTILITY,Blitzcrank,53,9,4,False,False,False,False,3,0,0,0,3859,2065,2031,0,3114,3117,3364,5003,5002,5005,8351,48,440,0,8306,10,0,0,8345,3,0,0,8347,0,0,0,8300,8275,18,0,0,8232,2,20,0,8200,4,14,7051,14097,31,0,35,5,4,19
KR_6658417429,ruLuAOXRo73Oi7Au90f-9lj4mx02CRZGTgBVXaCqUvFDLMdRbcWSArYaccHyD21BRX6_hwnodwZ9dg,하늘색 용,68,False,CHERRY,948,,Hecarim,120,15,1,False,True,False,False,10,0,0,0,223177,223158,226632,223071,223161,226333,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,2202,24716,28942,0,0,0,0,0,0
KR_6658417429,jYC3Az4zcwKzWZtF_NIjQUiifQLHz7-vtfEHoo1k96RevsyKdNzyEWHKmUdS-AIfnPW4MBpAgcaMKg,아내일뭐입지,99,False,CHERRY,948,,Volibear,106,15,9,True,False,False,False,1,0,0,0,226617,223107,223222,2049,223065,223047,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,2201,13476,33374,0,0,0,0,0,0
KR_6658417429,mnYsMP_eyO9i7WjLk8Y8JEz3z8V7d-nLewrPAzHtkMIu9RCoeaPYkKZVEosJCoKJ5LP5kVv87Woxqg,팀운이너무없다,382,False,CHERRY,948,,Pantheon,80,12,2,False,False,False,False,2,0,0,0,223047,226692,223177,226609,223071,0,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,2201,11579,16074,0,0,0,0,0,0
KR_6658417429,BAmlXokUsZ7xd1MdKUTic_XVtLqtH9bkT57qFsk7LnxeY_wU9Qbjvp9nYf-ZuPkFn_yfTyLWVt5JLA,적당히만하자제발,290,False,CHERRY,948,,Samira,360,12,2,False,False,False,False,2,0,0,0,223031,226676,226673,0,223006,223184,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,2202,12594,14161,0,0,0,0,0,0
KR_6672953301,Za0shYWr_SIhzioBu6HLWASdGV2i6-7h3ZYsyy7FexsM2qUEAg1-JAY8cmTUzibUV-Ndy1ZRn0pQww,yunqidayushili,390,False,CLASSIC,2028,TOP,Kennen,85,16,8,False,False,False,False,12,0,0,1,3152,1052,3157,3020,3089,3135,3364,5002,5008,5005,8214,1653,0,0,8275,10,0,0,8233,18,20,0,8237,620,0,0,8200,8473,1502,0,0,8451,182,0,0,8400,4,12,32779,30782,208,0,32,5,5,9
