matchId,puuid,summonerName,summonerLevel,win,gameMode,gameDuration,teamPosition,championName,championId,champLevel,assists,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,kills,pentaKills,quadraKills,tripleKills,item0,item1,item2,item3,item4,item5,item6,defense,flex,offense,prim1_perk,prim1_var1,prim1_var2,prim1_var3,prim2_perk,prim2_var1,prim2_var2,prim2_var3,prim3_perk,prim3_var1,prim3_var2,prim3_var3,prim4_perk,prim4_var1,prim4_var2,prim4_var3,prim_style,sub1_perk,sub1_var1,sub1_var2,sub1_var3,sub2_perk,sub2_var1,sub2_var2,sub2_var3,sub_style,summoner1Id,summoner2Id,totalDamageDealtToChampions,totalDamageTaken,totalMinionsKilled,totalEnemyJungleMinionsKilled,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
KR_6677165895,oPKEW5APXnQSoTGDj_dVA8243flFyRePmEtHE9Gj-nyNsmVI-RPiAWlNdsM-WKkIjUwTCV0Crb7Jpg,RoRoNoA VIICHAN,192,True,CLASSIC,1128,TOP,Jax,24,12,3,False,False,False,False,4,0,0,0,1054,2031,3047,6632,1036,3067,3340,5002,5008,5005,8437,872,521,0,8446,566,0,0,8444,921,0,0,8242,30,0,0,8400,8345,3,0,0,8347,0,0,0,8300,12,4,9751,14495,123,0,11,0,1,6
KR_6677165895,0B53k8b6FeShMdWtHGcPDkliYWYuCbwYY5CcaJ2tP5kM_G9RAcRQhM4d_edZtk1kdeld7ZQb0SVXlw,hold me7,994,True,CLASSIC,1128,JUNGLE,Kindred,203,11,4,False,True,False,False,9,0,0,0,6672,3078,0,3009,0,0,3364,5001,5008,5005,8005,771,521,250,9111,478,260,0,9104,10,40,0,8014,345,0,0,8000,8347,0,0,0,8321,8,0,0,8300,11,4,10521,14548,20,19,30,6,8,6
KR_6677165895,flHCW4aPpp7MkkrMpit9MZymIRqclqCKZ3AOQXjPHEtXhAVOVIiL9Pf3YLZ9noL1sx9DMrVTHY2L2A,rkswjfgkqslek,443,True,CLASSIC,1128,MIDDLE,Lissandra,127,12,11,False,False,False,False,3,0,0,0,1056,6656,2033,3158,1082,3135,3364,5003,5008,5005,8214,885,0,0,8226,250,608,0,8210,4,0,0,8237,416,0,0,8200,8444,804,0,0,8242,30,0,0,8400,12,4,14575,12343,165,0,14,1,3,5
KR_6677165895,UkujelqkklvFglW6ItefYinuMKOpzBrarhHpfS6LxmCjGWWZgTQx-cVHB7IywSyAyUZUgMeJGt80fA,BRO Enosh1,319,True,CLASSIC,1128,BOTTOM,Kaisa,145,12,5,True,False,False,True,10,0,0,1,3115,2422,3087,3124,0,0,3363,5002,5008,5005,8008,81,7,0,9111,764,300,0,9103,16,0,0,8017,228,0,0,8000,8304,9,4,5,8345,3,0,0,8300,4,6,17638,7002,172,0,18,2,6,8
KR_6677165895,pEjx5wYC-6uI6bTDB4ejISp-JEdPIp7f_Tu-yTDIBRgClq41hfQ_4zAvrzdKvE8EBuwKrvmPA9SZWw,역천괴,809,True,CLASSIC,1128,UTILITY,Alistar,12,9,18,True,False,False,False,0,0,0,0,3190,3860,2055,2031,3023,3047,3364,5002,5002,5007,8351,33,133,0,8306,12,0,0,8316,614,0,0,8347,0,0,0,8300,8275,20,0,0,8232,3,40,0,8200,14,4,4278,11497,29,0,51,10,5,27
KR_6658417429,Bu-jWSNBxVlaEvKWRQ8IV8DYM1nNKpKG0NHJ4-HGGRJOI-uhOMKUuaMZjQ5_ONOxjgxjSfUdjfMeEw,travers,178,True,CHERRY,948,,Kaisa,145,18,2,False,False,False,False,10,0,0,0,226672,223006,223115,223124,3172,223026,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,2201,53272,22097,0,0,0,0,0,0
KR_6658417429,Jj17gFuyWxN_MJvn272G4K9vyFBeaejQllrQROBCMNR5LqygL7vPApqGKBQnbZvaZXchSSf9WjN5hQ,붕어타는보드빵맨,404,True,CHERRY,948,,Alistar,12,18,10,False,False,False,False,3,0,0,0,223047,223143,226662,223110,223109,223075,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,2201,9779,35510,0,0,0,0,0,0
KR_6658417429,VX401jTmbPWXzHQ6Q44MvPGISkFfvmA64_f2Gqz3bq1kW8jcJvqlyOAS6c9nkedmB9ZmyWsSPAAfcg,3대 500 리 신,203,True,CHERRY,948,,LeeSin,64,18,1,False,False,False,False,10,0,0,0,226665,223142,226671,226691,223047,226692,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,2202,30521,20415,0,0,0,0,0,0
KR_6658417429,n8X5Q_ud5xIVqpVYwtOaNUO-ISDwvnHd8fkTLBnPUBp3aBOfZRvMYKvcEcQSZevXeNarcyu5oHaM2Q,용암리75,206,True,CHERRY,948,,Naafiri,950,18,10,False,False,False,False,1,0,0,0,226676,223026,226692,226693,226694,223071,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,2201,31418,23722,0,0,0,0,0,0
KR_6672953301,yo9VsNm-SNLXgQ1yskrO-VmUh9vr1QV3K47DQ5kTfvNpBQkjFHlr22Xugyb5UgyB3MmznIWt41Zb7w,명지대카레돈가스,54,True,CLASSIC,2028,TOP,Jax,24,17,9,False,False,False,False,6,0,0,0,3078,3066,8001,8020,3111,1057,3340,5002,5008,5008,8437,1105,627,0,8446,345,0,0,8444,1612,0,0,8242,114,0,0,8400,8226,250,871,0,8237,556,0,0,8200,12,4,18146,39477,173,0,42,5,6,14
