"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"bro";"Khazix";"121";"TOP";3033;99;134;174;0.569;0.0442;0.0574;3.46;"8369";"8304";"8321";"8347";"8300";"8369";"8304";"8100";"5002";"5008";"5008";"11";"4";127;0.73;0.56;"4";"11";"39";"0.22";"0.69";"1";"2";"3";138;0.79;0.6;"1102";"2003";"3340";"";"";"";"";"";46;0.26;0.63;"1102";"2003";"";"";"";"";"";"";26;0.15;0.65;"3158";87;0.5;0.63;"3047";39;0.22;0.51;"6691";"";"";"";"";"";"13";0.07;0.38;"6691";"3814";"6694";"";"";"";"11";0.06;0.45;"6691";"3814";"";"";"";"";"10";0.06;0.7
"bro";"Urgot";"6";"TOP";3033;34;10;56;0.6071;0.0033;0.0185;3.26;"8005";"9111";"9105";"8299";"8000";"8005";"9111";"8400";"5002";"5008";"5008";"12";"4";27;0.48;0.7;"4";"12";"10";"0.18";"0.5";"2";"3";"1";28;0.5;0.75;"1055";"2003";"3340";"";"";"";"";"";13;0.23;0.77;"1055";"2003";"";"";"";"";"";"";10;0.18;0.6;"3047";30;0.54;0.63;"3111";10;0.18;0.7;"3071";"";"";"";"";"";"7";0.12;0.43;"3071";"3748";"";"";"";"";"4";0.07;1.0;"3071";"3748";"6665";"";"";"";"3";0.05;0.67
"bro";"Gangplank";"41";"TOP";3033;71;66;131;0.542;0.0218;0.0432;2.76;"8369";"8304";"8345";"8347";"8300";"8369";"8304";"8400";"5002";"5008";"5008";"12";"4";88;0.67;0.48;"4";"12";"21";"0.16";"0.71";"1";"3";"2";126;0.96;0.56;"1036";"2031";"";"";"";"";"";"";35;0.27;0.57;"1036";"2031";"3340";"";"";"";"";"";31;0.24;0.58;"3158";93;0.71;0.51;"3047";14;0.11;0.57;"3508";"6675";"";"";"";"";"20";0.15;0.65;"3508";"";"";"";"";"";"18";0.14;0.33;"3508";"6675";"6676";"";"";"";"12";0.09;0.42
"bro";"Warwick";"19";"TOP";3033;117;43;243;0.4815;0.0142;0.0801;2.87;"8008";"9111";"9104";"8299";"8000";"8008";"9111";"8200";"5002";"5008";"5005";"11";"4";102;0.42;0.46;"2201";"2202";"42";"0.17";"0.48";"2";"1";"3";97;0.4;0.53;"223184";"";"";"";"";"";"";"";43;0.18;0.47;"1055";"2003";"";"";"";"";"";"";21;0.09;0.57;"3047";95;0.39;0.44;"3111";40;0.16;0.53;"3153";"";"";"";"";"";"28";0.12;0.29;"3153";"6665";"";"";"";"";"19";0.08;0.58;"3153";"6665";"3748";"";"";"";"8";0.03;0.5
"bro";"Aatrox";"266";"TOP";3033;182;397;377;0.4828;0.1309;0.1243;2.47;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";247;0.66;0.47;"4";"12";"76";"0.2";"0.5";"1";"3";"2";335;0.89;0.5;"1054";"2003";"";"";"";"";"";"";145;0.38;0.5;"1054";"2003";"3340";"";"";"";"";"";102;0.27;0.47;"3047";228;0.6;0.48;"3111";71;0.19;0.49;"6630";"";"";"";"";"";"43";0.11;0.44;"6691";"";"";"";"";"";"29";0.08;0.31;"6630";"3071";"";"";"";"";"23";0.06;0.43
"bro";"Swain";"50";"TOP";3033;127;116;245;0.5184;0.0382;0.0808;3.35;"8112";"8126";"8138";"8106";"8100";"8010";"8009";"8400";"5002";"5008";"5008";"14";"4";92;0.38;0.46;"6";"4";"53";"0.22";"0.62";"1";"2";"3";150;0.61;0.56;"3850";"2003";"2003";"";"";"";"";"";62;0.25;0.47;"3850";"2003";"2003";"3340";"";"";"";"";60;0.24;0.53;"3020";130;0.53;0.52;"3111";23;0.09;0.52;"6653";"";"";"";"";"";"35";0.14;0.46;"6653";"3157";"";"";"";"";"26";0.11;0.65;"3116";"";"";"";"";"";"16";0.07;0.38
"bro";"TahmKench";"223";"TOP";3033;28;15;54;0.5185;0.0049;0.0178;3.59;"8437";"8401";"8444";"8242";"8400";"8437";"8401";"8000";"5002";"5002";"5005";"12";"4";18;0.33;0.67;"14";"4";"12";"0.22";"0.5";"1";"2";"3";30;0.56;0.6;"1054";"2003";"";"";"";"";"";"";21;0.39;0.62;"1054";"2003";"3340";"";"";"";"";"";9;0.17;0.56;"3047";24;0.44;0.54;"3111";13;0.24;0.69;"3084";"";"";"";"";"";"6";0.11;0.33;"3084";"3068";"";"";"";"";"6";0.11;0.5;"6662";"";"";"";"";"";"3";0.06;0.33
"bro";"LeeSin";"64";"TOP";3033;233;387;497;0.4688;0.1276;0.1639;3.63;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8300";"5002";"5008";"5005";"11";"4";354;0.71;0.49;"4";"11";"82";"0.16";"0.46";"1";"2";"3";288;0.58;0.51;"1103";"2003";"";"";"";"";"";"";88;0.18;0.39;"1103";"2003";"3340";"";"";"";"";"";84;0.17;0.4;"3047";242;0.49;0.47;"3111";108;0.22;0.48;"6630";"3071";"";"";"";"";"69";0.14;0.54;"6630";"";"";"";"";"";"62";0.12;0.32;"6692";"";"";"";"";"";"31";0.06;0.32
"bro";"Galio";"3";"TOP";3033;30;15;58;0.5172;0.0049;0.0191;2.42;"8439";"8401";"8473";"8451";"8400";"8439";"8401";"8200";"5003";"5008";"5008";"12";"4";30;0.52;0.53;"14";"4";"14";"0.24";"0.57";"1";"2";"3";38;0.66;0.58;"1056";"2003";"2003";"";"";"";"";"";17;0.29;0.71;"1056";"2003";"2003";"3340";"";"";"";"";10;0.17;0.3;"3047";17;0.29;0.47;"3111";17;0.29;0.53;"6656";"";"";"";"";"";"6";0.1;0.5;"6656";"3157";"";"";"";"";"6";0.1;0.67;"3152";"";"";"";"";"";"3";0.05;0.33
"bro";"AurelionSol";"136";"TOP";3033;26;14;49;0.5306;0.0046;0.0162;3.67;"8229";"8226";"8210";"8236";"8200";"8229";"8226";"8300";"5003";"5008";"5008";"12";"4";34;0.69;0.59;"4";"12";"7";"0.14";"0.57";"1";"3";"2";46;0.94;0.57;"1056";"2003";"2003";"";"";"";"";"";14;0.29;0.5;"1056";"2003";"2003";"3340";"";"";"";"";11;0.22;0.73;"3020";38;0.78;0.61;"3047";2;0.04;0.0;"6653";"";"";"";"";"";"5";0.1;0.8;"3116";"6653";"";"";"";"";"4";0.08;0.75;"3116";"";"";"";"";"";"3";0.06;0.0
