"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"bro";"Neeko";"";"";540;26;0;41;0.6341;0.0;0.0759;4.1;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";31;0.76;0.65;"4";"32";"9";"0.22";"0.67";"1";"3";"2";27;0.66;0.7;"3802";"1001";"";"";"";"";"";"";25;0.61;0.68;"3145";"1001";"2003";"";"";"";"";"";6;0.15;0.83;"3020";35;0.85;0.71;"3158";3;0.07;0.33;"6655";"4645";"3157";"";"";"";"6";0.15;0.83;"6655";"4645";"3089";"";"";"";"3";0.07;0.33;"6655";"3157";"";"";"";"";"3";0.07;1.0
"bro";"Kayn";"";"";540;7;0;24;0.2917;0.0;0.0444;2.47;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";18;0.75;0.17;"4";"32";"5";"0.21";"0.6";"1";"2";"3";15;0.62;0.33;"3134";"1001";"";"";"";"";"";"";8;0.33;0.25;"3070";"1036";"1036";"1001";"";"";"";"";8;0.33;0.12;"3158";12;0.5;0.25;"3047";5;0.21;0.4;"6691";"3004";"6676";"";"";"";"2";0.08;0.0;"6691";"6694";"6333";"";"";"";"1";0.04;0.0;"6691";"3004";"6696";"6696";"";"";"1";0.04;1.0
"bro";"Sett";"";"";540;16;0;32;0.5;0.0;0.0593;3.15;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5005";"32";"4";25;0.78;0.44;"4";"32";"4";"0.12";"0.75";"2";"1";"3";20;0.62;0.6;"6029";"1001";"";"";"";"";"";"";8;0.25;0.5;"3801";"1028";"2031";"";"";"";"";"";6;0.19;0.67;"3111";26;0.81;0.5;"3047";5;0.16;0.6;"3084";"3068";"";"";"";"";"2";0.06;0.0;"6630";"3053";"3748";"";"";"";"2";0.06;0.5;"6691";"6696";"6676";"";"";"";"1";0.03;0.0
"bro";"Akali";"";"";540;12;0;35;0.3429;0.0;0.0648;2.81;"8010";"8009";"9105";"8014";"8000";"8010";"8009";"8100";"5002";"5008";"5008";"32";"4";26;0.74;0.38;"4";"32";"8";"0.23";"0.25";"1";"3";"2";21;0.6;0.38;"3145";"1001";"2003";"";"";"";"";"";23;0.66;0.26;"3145";"1001";"";"";"";"";"";"";3;0.09;0.33;"3020";28;0.8;0.32;"3111";4;0.11;0.25;"3152";"4645";"";"";"";"";"7";0.2;0.14;"3152";"3157";"4645";"";"";"";"3";0.09;0.0;"3152";"4645";"3157";"";"";"";"2";0.06;0.0
"bro";"Cassiopeia";"";"";540;11;0;28;0.3929;0.0;0.0519;3.96;"8010";"8009";"9105";"8014";"8000";"8010";"8009";"8200";"5002";"5008";"5008";"6";"4";13;0.46;0.31;"32";"4";"5";"0.18";"0.4";"3";"1";"2";20;0.71;0.55;"1026";"3070";"2031";"";"";"";"";"";8;0.29;0.38;"3803";"2003";"2003";"";"";"";"";"";3;0.11;0.33;"";0;0.0;0.0;"";0;0.0;0.0;"6657";"3003";"3116";"4645";"";"";"2";0.07;0.5;"3003";"6657";"4645";"3089";"";"";"1";0.04;0.0;"6657";"3116";"4637";"";"";"";"1";0.04;0.0
"bro";"Varus";"";"";540;34;0;74;0.4595;0.0;0.137;4.5;"8128";"8139";"8138";"8135";"8100";"8128";"8139";"8000";"5002";"5008";"5008";"6";"4";22;0.3;0.5;"7";"4";"22";"0.3";"0.45";"1";"3";"2";40;0.54;0.45;"3070";"1036";"1036";"1001";"";"";"";"";23;0.31;0.65;"3177";"3070";"2003";"";"";"";"";"";7;0.09;0.43;"3158";42;0.57;0.45;"3006";22;0.3;0.55;"6691";"";"";"";"";"";"4";0.05;0.5;"6691";"3004";"";"";"";"";"4";0.05;0.75;"6691";"3004";"6676";"";"";"";"3";0.04;0.67
"bro";"Seraphine";"";"";540;16;0;29;0.5517;0.0;0.0537;4.7;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";12;0.41;0.5;"32";"4";"5";"0.17";"0.4";"1";"3";"2";15;0.52;0.53;"3802";"1001";"";"";"";"";"";"";22;0.76;0.5;"4642";"3070";"2003";"";"";"";"";"";2;0.07;0.5;"3158";17;0.59;0.53;"3020";10;0.34;0.5;"6653";"3116";"4637";"";"";"";"2";0.07;0.5;"6655";"3116";"";"";"";"";"2";0.07;0.0;"6655";"3165";"";"";"";"";"1";0.03;0.0
"bro";"JarvanIV";"";"";540;22;0;41;0.5366;0.0;0.0759;3.8;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8100";"5002";"5008";"5005";"32";"4";33;0.8;0.55;"4";"32";"6";"0.15";"0.5";"1";"3";"2";24;0.59;0.62;"3134";"1001";"";"";"";"";"";"";19;0.46;0.37;"6029";"1001";"";"";"";"";"";"";11;0.27;0.91;"3111";28;0.68;0.43;"3047";8;0.2;0.88;"6691";"6676";"6696";"";"";"";"3";0.07;0.0;"6691";"6676";"";"";"";"";"3";0.07;0.33;"6691";"6696";"6676";"";"";"";"2";0.05;0.0
"bro";"Tryndamere";"";"";540;14;0;36;0.3889;0.0;0.0667;3.53;"8008";"9111";"9104";"8299";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"32";"4";25;0.69;0.44;"4";"32";"4";"0.11";"0.25";"1";"3";"2";22;0.61;0.45;"1011";"1028";"2003";"2003";"";"";"";"";9;0.25;0.56;"6670";"2003";"2003";"";"";"";"";"";6;0.17;0.17;"3006";18;0.5;0.28;"3111";9;0.25;0.33;"3084";"3068";"";"";"";"";"3";0.08;0.33;"3084";"3153";"3046";"";"";"";"1";0.03;1.0;"6675";"6672";"6696";"3153";"";"";"1";0.03;0.0
"bro";"Gragas";"";"";540;17;0;28;0.6071;0.0;0.0519;3.86;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";23;0.82;0.7;"4";"32";"4";"0.14";"0.25";"1";"3";"2";17;0.61;0.53;"3145";"1001";"2003";"";"";"";"";"";10;0.36;0.6;"3802";"1001";"";"";"";"";"";"";3;0.11;0.67;"3020";17;0.61;0.53;"3111";7;0.25;0.86;"4636";"4645";"";"";"";"";"5";0.18;0.4;"4636";"4645";"3089";"3157";"";"";"3";0.11;0.67;"6655";"";"";"";"";"";"2";0.07;1.0
