"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"bro";"Poppy";"78";"TOP";3033;19;75;36;0.5278;0.0247;0.0119;3.22;"8437";"8401";"8473";"8453";"8400";"8345";"8352";"8300";"5002";"5008";"5008";"12";"4";34;0.94;0.56;"14";"4";"1";"0.03";"0";"1";"3";"2";28;0.78;0.54;"2033";"";"";"";"";"";"";"";13;0.36;0.46;"2033";"3340";"";"";"";"";"";"";11;0.31;0.73;"3047";23;0.64;0.57;"3111";7;0.19;0.29;"6632";"";"";"";"";"";"7";0.19;0.43;"6662";"3068";"";"";"";"";"3";0.08;1.0;"6632";"3068";"4401";"";"";"";"2";0.06;1.0
"bro";"KogMaw";"96";"TOP";3033;0;20;1;0.0;0.0066;0.0003;0.42;"8008";"9111";"9104";"8299";"8000";"8451";"8473";"8400";"5002";"5008";"5005";"12";"4";1;1.0;0.0;"";"";"1";"1";"0";"2";"1";"3";1;1.0;0.0;"3850";"2003";"2003";"3340";"2055";"3340";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3006";1;1.0;0.0;"";1;1.0;0.0;"3124";"3085";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"bro";"MissFortune";"21";"TOP";3033;2;138;2;1.0;0.0455;0.0007;0.64;"8369";"8304";"8345";"8347";"8300";"8233";"8236";"8200";"5003";"5008";"5008";"12";"4";1;0.5;1.0;"6";"7";"1";"0.5";"1";"1";"3";"2";1;0.5;1.0;"1036";"2003";"2003";"2003";"1083";"2003";"3340";"";1;0.5;1.0;"3070";"2003";"2003";"";"";"";"";"";1;0.5;1.0;"3006";1;0.5;1.0;"3009";1;0.5;1.0;"6692";"6676";"3072";"3036";"3094";"";"1";0.5;1.0;"3142";"3004";"";"";"";"";"1";0.5;1.0;"";"";"";"";"";"";"1";0.5;0.0
"bro";"Evelynn";"28";"TOP";3033;0;59;1;0.0;0.0195;0.0003;2.1;"8010";"8009";"9105";"8014";"8000";"8242";"8446";"8400";"5003";"5008";"5008";"14";"4";1;1.0;0.0;"";"";"1";"1";"0";"1";"3";"2";1;1.0;0.0;"1056";"2003";"2003";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3020";1;1.0;0.0;"";1;1.0;0.0;"3152";"3100";"3089";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"bro";"Quinn";"133";"TOP";3033;25;84;58;0.431;0.0277;0.0191;2.13;"8021";"8009";"9104";"8017";"8000";"8233";"8237";"8200";"5002";"5008";"5005";"14";"4";50;0.86;0.42;"4";"6";"1";"0.02";"1";"2";"1";"3";24;0.41;0.5;"1036";"2031";"3340";"";"";"";"";"";18;0.31;0.44;"1036";"2031";"";"";"";"";"";"";16;0.28;0.44;"3006";45;0.78;0.44;"3047";3;0.05;0.67;"3087";"6671";"";"";"";"";"7";0.12;0.57;"3087";"";"";"";"";"";"7";0.12;0.29;"3087";"6671";"3036";"3095";"";"";"3";0.05;0.33
"bro";"AurelionSol";"136";"TOP";3033;4;14;4;1.0;0.0046;0.0013;3.76;"8369";"8304";"8316";"8347";"8300";"8233";"8236";"8200";"5003";"5008";"5008";"12";"4";4;1.0;1.0;"";"";"1";"0.25";"0";"1";"3";"2";4;1.0;1.0;"1056";"2003";"2003";"";"";"";"";"";2;0.5;1.0;"3070";"2003";"2003";"3340";"";"";"";"";1;0.25;1.0;"3020";4;1.0;1.0;"";1;0.25;0.0;"6657";"3116";"3003";"";"";"";"2";0.5;1.0;"6657";"3116";"";"";"";"";"1";0.25;1.0;"6653";"3157";"";"";"";"";"1";0.25;1.0
"bro";"Renekton";"58";"TOP";3033;80;206;177;0.452;0.0679;0.0584;2.38;"8010";"9111";"9104";"8299";"8000";"8473";"8242";"8400";"5002";"5008";"5008";"12";"4";128;0.72;0.49;"14";"4";"39";"0.22";"0.41";"1";"3";"2";139;0.79;0.51;"1054";"2003";"";"";"";"";"";"";72;0.41;0.4;"1054";"2003";"3340";"";"";"";"";"";43;0.24;0.51;"3047";124;0.7;0.48;"3111";37;0.21;0.46;"6630";"";"";"";"";"";"28";0.16;0.46;"6630";"3071";"";"";"";"";"21";0.12;0.38;"3153";"";"";"";"";"";"11";0.06;0.27
"bro";"Ahri";"103";"TOP";3033;2;92;4;0.5;0.0303;0.0013;1.19;"8112";"8139";"8138";"8106";"8100";"8226";"8210";"8200";"5002";"5008";"5005";"12";"4";3;0.75;0.67;"14";"4";"1";"0.25";"0";"1";"2";"3";3;0.75;0.67;"1056";"2003";"2003";"3340";"";"";"";"";2;0.5;0.5;"1036";"2031";"";"";"";"";"";"";1;0.25;1.0;"3020";3;0.75;0.33;"3047";1;0.25;1.0;"6656";"3157";"";"";"";"";"1";0.25;1.0;"3087";"6656";"";"";"";"";"1";0.25;1.0;"6655";"";"";"";"";"";"1";0.25;0.0
"bro";"Zac";"154";"TOP";3033;13;42;23;0.5652;0.0138;0.0076;3.81;"8437";"8446";"8444";"8453";"8400";"9105";"8299";"8000";"5002";"5002";"5005";"12";"4";18;0.78;0.56;"14";"4";"5";"0.22";"0.6";"2";"3";"1";11;0.48;0.73;"1054";"2003";"3340";"";"";"";"";"";10;0.43;0.5;"1054";"2003";"";"";"";"";"";"";7;0.3;0.57;"3047";11;0.48;0.55;"3158";4;0.17;0.25;"6667";"3068";"";"";"";"";"2";0.09;0.5;"3068";"6665";"3075";"";"";"";"2";0.09;0.5;"6667";"3068";"3075";"";"";"";"2";0.09;0.0
"bro";"Ornn";"516";"TOP";3033;46;20;79;0.5823;0.0066;0.026;3.02;"8437";"8446";"8473";"8451";"8400";"8304";"8345";"8300";"5002";"5002";"5005";"12";"4";77;0.97;0.58;"14";"4";"1";"0.01";"0";"2";"1";"3";48;0.61;0.56;"1054";"2003";"";"";"";"";"";"";33;0.42;0.48;"1054";"2003";"3340";"";"";"";"";"";28;0.35;0.64;"3047";46;0.58;0.57;"3111";17;0.22;0.71;"3068";"";"";"";"";"";"8";0.1;0.25;"3068";"6665";"";"";"";"";"6";0.08;0.33;"6665";"3068";"";"";"";"";"6";0.08;0.5
