"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"chall";"Syndra";"";"";256;12;0;22;0.5455;0.0;0.0859;3.89;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"6";"4";12;0.55;0.5;"4";"6";"7";"0.32";"0.57";"1";"3";"2";12;0.55;0.67;"3802";"1001";"";"";"";"";"";"";11;0.5;0.55;"3802";"2031";"";"";"";"";"";"";4;0.18;0.75;"3020";21;0.95;0.57;"3158";1;0.05;0.0;"6655";"4645";"3089";"";"";"";"4";0.18;0.5;"6655";"4645";"";"";"";"";"2";0.09;0.5;"6655";"4645";"3102";"";"";"";"2";0.09;0.0
"chall";"Teemo";"";"";256;11;0;21;0.5238;0.0;0.082;4.21;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"4";"14";4;0.19;0.5;"3";"4";"4";"0.19";"0.5";"1";"3";"2";10;0.48;0.5;"3802";"1001";"";"";"";"";"";"";17;0.81;0.53;"3112";"1052";"";"";"";"";"";"";2;0.1;0.5;"3020";14;0.67;0.5;"3158";6;0.29;0.5;"6653";"4629";"";"";"";"";"2";0.1;1.0;"6653";"4637";"";"";"";"";"2";0.1;0.0;"6653";"3089";"4637";"";"";"";"1";0.05;0.0
"chall";"Blitzcrank";"";"";256;15;0;22;0.6818;0.0;0.0859;3.95;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";15;0.68;0.67;"4";"32";"5";"0.23";"0.6";"1";"3";"2";9;0.41;0.67;"3802";"1001";"";"";"";"";"";"";6;0.27;0.67;"2051";"3070";"2003";"";"";"";"";"";5;0.23;0.8;"3158";10;0.45;0.5;"3111";5;0.23;0.8;"6656";"3083";"";"";"";"";"3";0.14;0.33;"3001";"3119";"3110";"";"";"";"2";0.09;1.0;"6656";"3083";"3075";"";"";"";"2";0.09;0.5
"chall";"Orianna";"";"";256;14;0;24;0.5833;0.0;0.0938;5.06;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"6";"4";11;0.46;0.73;"3";"4";"5";"0.21";"0.8";"1";"2";"3";15;0.62;0.6;"3802";"1001";"";"";"";"";"";"";13;0.54;0.69;"3802";"2031";"";"";"";"";"";"";3;0.12;0.0;"3020";22;0.92;0.59;"";1;0.04;0.0;"6655";"4645";"3135";"";"";"";"3";0.12;0.67;"6655";"";"";"";"";"";"3";0.12;1.0;"6655";"4645";"";"";"";"";"2";0.08;0.5
"chall";"Khazix";"";"";256;8;0;15;0.5333;0.0;0.0586;3.24;"8128";"8143";"8138";"8135";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";11;0.73;0.55;"4";"32";"3";"0.2";"0.67";"2";"1";"3";10;0.67;0.6;"3070";"1036";"1036";"1001";"";"";"";"";4;0.27;0.75;"3177";"3070";"2003";"";"";"";"";"";3;0.2;0.33;"3158";10;0.67;0.5;"3047";2;0.13;0.5;"6691";"3004";"";"";"";"";"3";0.2;0.33;"3004";"6691";"6695";"6694";"3814";"";"1";0.07;0.0;"6691";"6676";"3004";"";"";"";"1";0.07;0.0
"chall";"Tristana";"";"";256;14;0;23;0.6087;0.0;0.0898;2.89;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"1";"4";8;0.35;0.75;"7";"4";"5";"0.22";"0.6";"3";"1";"2";15;0.65;0.73;"6670";"";"";"";"";"";"";"";9;0.39;0.56;"6670";"2003";"2003";"";"";"";"";"";9;0.39;0.56;"3006";18;0.78;0.67;"3111";4;0.17;0.5;"3087";"6675";"";"";"";"";"2";0.09;0.0;"3087";"6675";"6672";"";"";"";"2";0.09;1.0;"3087";"3156";"";"";"";"";"1";0.04;0.0
"chall";"Samira";"";"";256;9;0;24;0.375;0.0;0.0938;2.54;"8010";"9111";"9103";"8014";"8000";"8010";"9111";"8100";"5002";"5008";"5005";"32";"4";11;0.46;0.45;"4";"32";"7";"0.29";"0.29";"1";"3";"2";14;0.58;0.5;"3134";"1001";"";"";"";"";"";"";12;0.5;0.42;"3134";"2031";"";"";"";"";"";"";2;0.08;0.5;"3047";9;0.38;0.33;"3111";9;0.38;0.56;"6691";"6676";"";"";"";"";"3";0.12;0.0;"6691";"6676";"6673";"";"";"";"2";0.08;0.0;"6676";"6691";"6676";"";"";"";"1";0.04;0.0
"chall";"Yasuo";"";"";256;8;0;20;0.4;0.0;0.0781;2.75;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"32";"4";13;0.65;0.46;"4";"32";"5";"0.25";"0.4";"1";"3";"2";11;0.55;0.36;"3006";"1042";"";"";"";"";"";"";6;0.3;0.5;"6670";"2003";"2003";"";"";"";"";"";4;0.2;0.25;"3006";17;0.85;0.47;"3111";3;0.15;0.0;"6672";"";"";"";"";"";"2";0.1;0.5;"6672";"3072";"6665";"";"";"";"2";0.1;0.5;"6672";"6673";"";"";"";"";"1";0.05;1.0
"chall";"LeeSin";"";"";256;13;0;33;0.3939;0.0;0.1289;3.53;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8100";"5002";"5008";"5008";"32";"4";25;0.76;0.4;"4";"32";"6";"0.18";"0.17";"1";"3";"2";12;0.36;0.5;"3134";"1001";"";"";"";"";"";"";13;0.39;0.46;"6029";"1001";"";"";"";"";"";"";9;0.27;0.22;"3111";16;0.48;0.38;"3047";8;0.24;0.25;"6691";"3156";"";"";"";"";"1";0.03;0.0;"6692";"3074";"3193";"";"";"";"1";0.03;0.0;"6691";"6693";"6696";"3814";"";"";"1";0.03;1.0
"chall";"Karma";"";"";256;11;0;22;0.5;0.0;0.0859;6.14;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";12;0.55;0.33;"4";"3";"6";"0.27";"0.5";"1";"3";"2";13;0.59;0.54;"3802";"1001";"";"";"";"";"";"";14;0.64;0.43;"4642";"3070";"";"";"";"";"";"";2;0.09;1.0;"3020";11;0.5;0.45;"3158";10;0.45;0.6;"6655";"4645";"";"";"";"";"2";0.09;0.5;"6655";"4645";"3089";"";"";"";"2";0.09;0.5;"2065";"6616";"3109";"4005";"";"";"1";0.05;1.0
"chall";"XinZhao";"";"";256;11;0;14;0.7857;0.0;0.0547;3.06;"8010";"9111";"9104";"8014";"8000";"9923";"8143";"8000";"5002";"5008";"5005";"32";"4";13;0.93;0.77;"4";"32";"1";"0.07";"1";"2";"3";"1";7;0.5;1.0;"3134";"1001";"";"";"";"";"";"";5;0.36;0.8;"6029";"1001";"";"";"";"";"";"";5;0.36;0.8;"3111";10;0.71;0.9;"3047";2;0.14;0.5;"6630";"3161";"6333";"";"";"";"2";0.14;0.5;"6692";"3508";"6676";"6693";"";"";"1";0.07;1.0;"6691";"6676";"6693";"6696";"3814";"3161";"1";0.07;1.0
"chall";"Vayne";"";"";256;14;0;24;0.5833;0.0;0.0938;3.46;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"6";"4";11;0.46;0.45;"1";"4";"9";"0.38";"0.78";"2";"1";"3";11;0.46;0.36;"3006";"1042";"";"";"";"";"";"";8;0.33;0.75;"6670";"";"";"";"";"";"";"";4;0.17;0.5;"3006";21;0.88;0.62;"3111";2;0.08;0.0;"3124";"3153";"";"";"";"";"2";0.08;0.5;"3153";"3124";"3046";"";"";"";"1";0.04;1.0;"6672";"3124";"3072";"3091";"";"";"1";0.04;0.0
"chall";"Nidalee";"";"";256;14;0;23;0.6087;0.0;0.0898;5.75;"8128";"8143";"8138";"8135";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";12;0.52;0.5;"4";"32";"3";"0.13";"0.67";"1";"3";"2";14;0.61;0.5;"3802";"1001";"";"";"";"";"";"";10;0.43;0.8;"3145";"1001";"2003";"";"";"";"";"";4;0.17;0.75;"3020";16;0.7;0.62;"3158";2;0.09;1.0;"6655";"4645";"";"";"";"";"1";0.04;1.0;"6653";"4645";"3089";"4628";"";"";"1";0.04;1.0;"6655";"3089";"4645";"3135";"";"";"1";0.04;1.0
