"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"chall";"KSante";"897";"TOP";1912;172;48;373;0.4611;0.0251;0.1951;2.92;"8437";"8446";"8444";"8451";"8400";"8437";"8446";"8300";"5002";"5002";"5005";"12";"4";194;0.52;0.45;"4";"12";"159";"0.43";"0.47";"1";"2";"3";332;0.89;0.5;"1054";"2003";"";"";"";"";"";"";218;0.58;0.45;"1054";"2003";"3340";"";"";"";"";"";106;0.28;0.51;"3047";239;0.64;0.47;"3111";101;0.27;0.5;"6662";"";"";"";"";"";"89";0.24;0.39;"6662";"3075";"";"";"";"";"46";0.12;0.5;"6662";"3068";"";"";"";"";"34";0.09;0.47
"chall";"Leblanc";"7";"TOP";1912;9;931;17;0.5294;0.4869;0.0089;3.79;"8021";"8009";"9104";"8014";"8000";"8021";"8009";"8300";"5002";"5008";"5005";"12";"4";13;0.76;0.54;"14";"12";"3";"0.18";"0.33";"1";"2";"3";10;0.59;0.5;"1036";"2031";"3340";"";"";"";"";"";11;0.65;0.55;"1056";"2003";"2003";"3340";"";"";"";"";2;0.12;0.5;"3158";10;0.59;0.6;"3020";3;0.18;0.67;"3087";"3078";"";"";"";"";"4";0.24;0.5;"3087";"";"";"";"";"";"3";0.18;1.0;"3153";"3508";"";"";"";"";"1";0.06;1.0
"chall";"Nunu";"20";"TOP";1912;1;71;2;0.5;0.0371;0.001;2.73;"8230";"8275";"8234";"8232";"8200";"8230";"8275";"8400";"5002";"5008";"5008";"4";"12";1;0.5;1.0;"6";"14";"1";"0.5";"0";"1";"3";"2";2;1.0;0.5;"1056";"2003";"2003";"";"";"";"";"";1;0.5;1.0;"1056";"2003";"2003";"3364";"";"";"";"";1;0.5;0.0;"3020";2;1.0;0.5;"";1;0.5;0.0;"6656";"4645";"";"";"";"";"1";0.5;1.0;"6656";"3165";"4645";"";"";"";"1";0.5;0.0;"";"";"";"";"";"";"1";0.5;0.0
"chall";"Aatrox";"266";"TOP";1912;76;31;166;0.4578;0.0162;0.0868;2.75;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";100;0.6;0.45;"4";"12";"63";"0.38";"0.48";"1";"3";"2";158;0.95;0.47;"1054";"2003";"3340";"";"";"";"";"";70;0.42;0.46;"1054";"2003";"";"";"";"";"";"";58;0.35;0.47;"3047";119;0.72;0.48;"3111";29;0.17;0.48;"6630";"";"";"";"";"";"52";0.31;0.37;"6630";"3161";"";"";"";"";"33";0.2;0.58;"6630";"3071";"";"";"";"";"19";0.11;0.53
"chall";"Darius";"122";"TOP";1912;13;73;25;0.52;0.0382;0.0131;2.94;"8010";"9111";"9104";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5005";"6";"4";18;0.72;0.56;"4";"6";"5";"0.2";"0.2";"1";"3";"2";21;0.84;0.57;"1054";"2003";"";"";"";"";"";"";6;0.24;0.67;"1055";"3340";"2003";"";"";"";"";"";4;0.16;0.25;"3047";17;0.68;0.59;"3111";5;0.2;0.6;"6631";"";"";"";"";"";"6";0.24;0.33;"6631";"3161";"";"";"";"";"3";0.12;0.33;"6632";"";"";"";"";"";"2";0.08;0.5
"chall";"Nidalee";"76";"TOP";1912;0;807;1;0.0;0.4221;0.0005;0.75;"8437";"8446";"8473";"8242";"8400";"8437";"8446";"8300";"5002";"5008";"5005";"14";"4";1;1.0;0.0;"";"";"1";"1";"0";"3";"No skill";"No skill";1;1.0;0.0;"1055";"2003";"3340";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3047";1;1.0;0.0;"";1;1.0;0.0;"6662";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"chall";"Belveth";"200";"TOP";1912;6;311;8;0.75;0.1627;0.0042;3.92;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";7;0.88;0.71;"14";"12";"1";"0.12";"1";"2";"1";"3";8;1.0;0.75;"1055";"2003";"";"";"";"";"";"";5;0.62;0.6;"1054";"2003";"";"";"";"";"";"";2;0.25;1.0;"3009";5;0.62;0.8;"3047";2;0.25;0.5;"3074";"6662";"";"";"";"";"3";0.38;0.67;"3074";"6662";"3053";"";"";"";"2";0.25;0.5;"3074";"";"";"";"";"";"1";0.12;1.0
"chall";"Camille";"164";"TOP";1912;16;9;35;0.4571;0.0047;0.0183;2.9;"8437";"8401";"8444";"8242";"8400";"8437";"8401";"8300";"5002";"5008";"5005";"12";"4";15;0.43;0.53;"4";"12";"9";"0.26";"0.56";"1";"3";"2";27;0.77;0.52;"1054";"2003";"3340";"";"";"";"";"";13;0.37;0.54;"1054";"2003";"";"";"";"";"";"";11;0.31;0.36;"3047";17;0.49;0.53;"3158";9;0.26;0.56;"6632";"";"";"";"";"";"13";0.37;0.31;"6632";"3161";"";"";"";"";"6";0.17;0.67;"3078";"";"";"";"";"";"3";0.09;0.33
"chall";"Zilean";"26";"TOP";1912;2;12;4;0.5;0.0063;0.0021;3.4;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8300";"5002";"5008";"5005";"12";"4";4;1.0;0.5;"";"";"1";"0.25";"0";"1";"3";"2";3;0.75;0.67;"1056";"3340";"2003";"2003";"";"";"";"";3;0.75;0.33;"2033";"";"";"";"";"";"";"";1;0.25;1.0;"3158";4;1.0;0.5;"";1;0.25;0.0;"6656";"3011";"";"";"";"";"1";0.25;1.0;"6656";"3157";"3165";"";"";"";"1";0.25;1.0;"6656";"";"";"";"";"";"1";0.25;0.0
"chall";"Chogath";"31";"TOP";1912;1;1;5;0.2;0.0005;0.0026;2.39;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8000";"5002";"5002";"5005";"12";"4";3;0.6;0.0;"4";"12";"2";"0.4";"0.5";"1";"2";"3";2;0.4;0.5;"1056";"2003";"2003";"3340";"";"";"";"";2;0.4;0.5;"1054";"2003";"";"";"";"";"";"";1;0.2;0.0;"3111";2;0.4;0.5;"3047";1;0.2;0.0;"3084";"3068";"";"";"";"";"2";0.4;0.0;"3084";"3110";"";"";"";"";"1";0.2;1.0;"6665";"3075";"";"";"";"";"1";0.2;0.0
