"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"dia";"Karthus";"";"";659;22;0;42;0.5238;0.0;0.0637;2.81;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";21;0.5;0.52;"4";"32";"15";"0.36";"0.6";"1";"3";"2";35;0.83;0.51;"3802";"1001";"";"";"";"";"";"";20;0.48;0.5;"3802";"";"";"";"";"";"";"";5;0.12;0.6;"3020";30;0.71;0.53;"3158";3;0.07;0.33;"6653";"4645";"";"";"";"";"4";0.1;0.5;"6653";"4637";"3003";"3089";"3135";"";"2";0.05;0.5;"6653";"4645";"3089";"3135";"";"";"2";0.05;0.5
"dia";"Shyvana";"";"";659;9;0;22;0.4091;0.0;0.0334;3.49;"8128";"8143";"8138";"8135";"8100";"8128";"8143";"8200";"5002";"5008";"5008";"32";"4";10;0.45;0.4;"6";"4";"6";"0.27";"0.33";"3";"2";"1";16;0.73;0.44;"3145";"1001";"2003";"";"";"";"";"";12;0.55;0.42;"3145";"1001";"";"";"";"";"";"";5;0.23;0.6;"3020";18;0.82;0.44;"3158";1;0.05;0.0;"4636";"3089";"4645";"";"";"";"4";0.18;0.75;"4636";"4645";"3135";"";"";"";"2";0.09;0.0;"4636";"4645";"";"";"";"";"2";0.09;1.0
"dia";"Annie";"";"";659;14;0;40;0.35;0.0;0.0607;3.21;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";28;0.7;0.36;"4";"32";"6";"0.15";"0.5";"1";"2";"3";19;0.47;0.42;"3802";"1001";"";"";"";"";"";"";23;0.57;0.39;"3802";"";"";"";"";"";"";"";3;0.07;0.0;"3020";37;0.93;0.35;"3158";3;0.07;0.33;"6655";"4645";"3089";"3135";"";"";"3";0.07;0.33;"6655";"4645";"3157";"";"";"";"3";0.07;0.0;"6655";"3089";"4645";"";"";"";"2";0.05;0.5
"dia";"Velkoz";"";"";659;26;0;46;0.5652;0.0;0.0698;4.51;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"7";"4";12;0.26;0.67;"3";"4";"7";"0.15";"0.43";"1";"2";"3";34;0.74;0.53;"3802";"1001";"";"";"";"";"";"";28;0.61;0.64;"3802";"2031";"";"";"";"";"";"";6;0.13;0.67;"3020";38;0.83;0.61;"3158";5;0.11;0.6;"6653";"4645";"3089";"";"";"";"4";0.09;0.25;"6655";"4645";"";"";"";"";"4";0.09;0.5;"6655";"4645";"3089";"";"";"";"3";0.07;0.67
"dia";"Bard";"";"";659;18;0;37;0.4865;0.0;0.0561;5.16;"8128";"8126";"8138";"8135";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";9;0.24;0.44;"6";"4";"8";"0.22";"0.88";"1";"2";"3";31;0.84;0.45;"3145";"1001";"2003";"";"";"";"";"";11;0.3;0.64;"6670";"2003";"2003";"";"";"";"";"";5;0.14;0.4;"3020";28;0.76;0.54;"3006";5;0.14;0.0;"4636";"3094";"3100";"";"";"";"7";0.19;0.57;"4636";"3100";"3094";"";"";"";"3";0.08;0.33;"6672";"3115";"3124";"3153";"";"";"1";0.03;0.0
"dia";"Cassiopeia";"";"";659;16;0;21;0.7619;0.0;0.0319;3.99;"8010";"8009";"9105";"8014";"8000";"8010";"8009";"8100";"5002";"5008";"5008";"6";"4";16;0.76;0.75;"4";"6";"2";"0.1";"0.5";"3";"1";"2";15;0.71;0.73;"1026";"3070";"2031";"";"";"";"";"";6;0.29;0.83;"3070";"1026";"";"";"";"";"";"";2;0.1;0.5;"";0;0.0;0.0;"";0;0.0;0.0;"6657";"3003";"3116";"4629";"";"";"7";0.33;0.86;"6657";"3003";"3116";"8020";"";"";"1";0.05;1.0;"6657";"3003";"3116";"4637";"3089";"3135";"1";0.05;0.0
"dia";"Thresh";"";"";659;48;0;76;0.6316;0.0;0.1153;5.05;"8439";"8463";"8473";"8451";"8400";"8439";"8463";"8000";"5001";"5002";"5007";"32";"4";50;0.66;0.62;"4";"32";"17";"0.22";"0.71";"1";"3";"2";35;0.46;0.71;"2051";"3070";"2003";"";"";"";"";"";25;0.33;0.64;"2051";"3070";"";"";"";"";"";"";6;0.08;0.67;"3111";48;0.63;0.6;"3158";13;0.17;0.62;"6665";"3119";"3083";"";"";"";"5";0.07;0.6;"6665";"3083";"";"";"";"";"5";0.07;0.6;"6665";"3119";"";"";"";"";"4";0.05;0.5
"dia";"Kindred";"";"";659;8;0;20;0.4;0.0;0.0303;3.02;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"1";"4";8;0.4;0.5;"6";"4";"6";"0.3";"0.17";"1";"2";"3";13;0.65;0.46;"6670";"2003";"2003";"";"";"";"";"";8;0.4;0.38;"3184";"1001";"2031";"";"";"";"";"";3;0.15;0.33;"3006";14;0.7;0.43;"3111";4;0.2;0.25;"6672";"3078";"3071";"";"";"";"4";0.2;0.25;"6671";"6672";"3091";"3156";"4401";"";"1";0.05;1.0;"6672";"3078";"3071";"3091";"";"";"1";0.05;1.0
"dia";"Katarina";"";"";659;21;0;39;0.5385;0.0;0.0592;3.03;"8010";"9111";"9105";"8014";"8000";"8010";"9111";"8100";"5002";"5008";"5008";"32";"4";31;0.79;0.48;"4";"32";"6";"0.15";"0.83";"1";"3";"2";25;0.64;0.68;"1026";"1052";"2003";"2003";"";"";"";"";13;0.33;0.69;"3057";"1036";"1036";"";"";"";"";"";6;0.15;0.17;"3020";22;0.56;0.55;"3111";10;0.26;0.6;"3115";"3152";"4645";"3157";"";"";"2";0.05;1.0;"3115";"3152";"4645";"";"";"";"2";0.05;0.5;"3115";"4633";"3157";"3135";"";"";"1";0.03;1.0
"dia";"Ezreal";"";"";659;50;0;95;0.5263;0.0;0.1442;4.28;"8010";"8009";"9103";"8014";"8000";"8010";"8009";"8200";"5002";"5008";"5005";"1";"4";48;0.51;0.46;"7";"4";"13";"0.14";"0.54";"1";"3";"2";65;0.68;0.51;"3057";"3070";"1001";"";"";"";"";"";44;0.46;0.52;"3070";"3057";"1001";"";"";"";"";"";13;0.14;0.38;"3158";78;0.82;0.5;"3111";6;0.06;0.5;"3078";"3004";"6694";"";"";"";"11";0.12;0.45;"3078";"3004";"";"";"";"";"10";0.11;0.7;"3078";"3004";"6694";"3074";"";"";"9";0.09;0.56
