"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"dia";"KSante";"897";"TOP";2846;79;65;197;0.401;0.0228;0.0692;2.48;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8300";"5002";"5002";"5005";"12";"4";135;0.69;0.38;"4";"12";"48";"0.24";"0.48";"1";"2";"3";164;0.83;0.43;"1054";"2003";"";"";"";"";"";"";103;0.52;0.42;"1054";"2003";"3340";"";"";"";"";"";72;0.37;0.36;"3047";122;0.62;0.45;"3111";50;0.25;0.32;"6662";"";"";"";"";"";"43";0.22;0.26;"6662";"3068";"";"";"";"";"27";0.14;0.48;"6662";"3068";"3193";"";"";"";"14";0.07;0.71
"dia";"MissFortune";"21";"TOP";2846;1;9;3;0.3333;0.0032;0.0011;6.1;"8229";"8226";"8210";"8236";"8200";"8229";"8226";"8400";"5002";"5008";"5008";"12";"4";1;0.33;1.0;"6";"4";"1";"0.33";"0";"3";"1";"2";1;0.33;1.0;"3850";"3340";"2003";"2003";"";"";"";"";1;0.33;1.0;"1055";"2003";"";"";"";"";"";"";1;0.33;0.0;"3158";1;0.33;1.0;"3009";1;0.33;0.0;"6653";"3116";"";"";"";"";"1";0.33;1.0;"3142";"";"";"";"";"";"1";0.33;0.0;"";"";"";"";"";"";"1";0.33;0.0
"dia";"Leblanc";"7";"TOP";2846;5;1033;7;0.7143;0.363;0.0025;4.4;"8021";"8009";"9104";"8014";"8000";"8021";"8009";"8400";"5002";"5008";"5005";"12";"4";4;0.57;0.75;"4";"12";"2";"0.29";"1";"2";"1";"3";3;0.43;0.67;"1036";"2031";"";"";"";"";"";"";3;0.43;0.67;"1036";"3340";"2031";"";"";"";"";"";1;0.14;1.0;"3158";4;0.57;0.75;"3047";1;0.14;1.0;"3087";"4636";"3100";"";"";"";"2";0.29;1.0;"3087";"3078";"3181";"";"";"";"2";0.29;0.5;"3095";"6632";"";"";"";"";"1";0.14;1.0
"dia";"Shyvana";"102";"TOP";2846;7;3;10;0.7;0.0011;0.0035;2.27;"8010";"9111";"9104";"8299";"8000";"8008";"9111";"8400";"5002";"5008";"5005";"12";"6";5;0.5;0.8;"14";"12";"3";"0.3";"0.67";"3";"1";"2";10;1.0;0.7;"1054";"2003";"";"";"";"";"";"";6;0.6;0.83;"1054";"2003";"3340";"";"";"";"";"";2;0.2;1.0;"3158";9;0.9;0.67;"3047";1;0.1;1.0;"3074";"3078";"";"";"";"";"3";0.3;0.33;"6662";"3161";"";"";"";"";"1";0.1;1.0;"6630";"3161";"";"";"";"";"1";0.1;1.0
"dia";"Ashe";"22";"TOP";2846;2;186;2;1.0;0.0654;0.0007;2.25;"8008";"9101";"9104";"8017";"8000";"8008";"9101";"8300";"5002";"5008";"5005";"4";"6";2;1.0;1.0;"";"";"1";"0.5";"0";"1";"2";"3";1;0.5;1.0;"1036";"2031";"2003";"2003";"2003";"";"";"";1;0.5;1.0;"1055";"2003";"3340";"";"";"";"";"";1;0.5;1.0;"3006";2;1.0;1.0;"";1;0.5;0.0;"6672";"3078";"3153";"3071";"";"";"1";0.5;1.0;"3153";"3078";"3091";"3046";"";"";"1";0.5;1.0;"";"";"";"";"";"";"1";0.5;0.0
"dia";"Aatrox";"266";"TOP";2846;179;361;373;0.4799;0.1268;0.1311;2.59;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";268;0.72;0.49;"4";"12";"92";"0.25";"0.42";"1";"3";"2";334;0.9;0.51;"1054";"2003";"";"";"";"";"";"";151;0.4;0.45;"1054";"2003";"3340";"";"";"";"";"";125;0.34;0.49;"3047";253;0.68;0.5;"3111";68;0.18;0.49;"6630";"";"";"";"";"";"82";0.22;0.39;"6630";"3161";"";"";"";"";"47";0.13;0.62;"6630";"3071";"";"";"";"";"26";0.07;0.46
"dia";"Darius";"122";"TOP";2846;116;365;224;0.5179;0.1283;0.0787;2.47;"8010";"9111";"9104";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5005";"6";"4";153;0.68;0.54;"4";"6";"66";"0.29";"0.47";"1";"3";"2";195;0.87;0.56;"1054";"2003";"3340";"";"";"";"";"";63;0.28;0.49;"1054";"2003";"";"";"";"";"";"";58;0.26;0.52;"3047";157;0.7;0.54;"3111";51;0.23;0.47;"6631";"";"";"";"";"";"42";0.19;0.38;"6631";"3742";"";"";"";"";"22";0.1;0.41;"3078";"";"";"";"";"";"13";0.06;0.31
"dia";"Nidalee";"76";"TOP";2846;1;1004;3;0.3333;0.3528;0.0011;6.18;"8021";"8009";"9104";"8299";"8000";"8021";"8009";"8400";"5002";"5008";"5008";"4";"14";1;0.33;1.0;"14";"4";"1";"0.33";"0";"3";"1";"2";2;0.67;0.5;"1055";"2003";"3340";"";"";"";"";"";3;1.0;0.33;"";"";"";"";"";"";"";"";1;0.33;0.0;"3047";2;0.67;0.5;"3020";1;0.33;0.0;"6632";"3181";"8020";"";"";"";"1";0.33;1.0;"6655";"";"";"";"";"";"1";0.33;0.0;"6662";"";"";"";"";"";"1";0.33;0.0
"dia";"Belveth";"200";"TOP";2846;3;101;6;0.5;0.0355;0.0021;3.62;"8010";"9111";"9104";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";3;0.5;0.33;"14";"4";"1";"0.17";"1";"2";"1";"3";4;0.67;0.75;"1055";"2003";"";"";"";"";"";"";2;0.33;0.5;"1055";"2003";"3340";"";"";"";"";"";2;0.33;0.5;"3009";3;0.5;0.33;"3047";3;0.5;0.67;"3074";"";"";"";"";"";"1";0.17;1.0;"3181";"6631";"3053";"3193";"";"";"1";0.17;1.0;"3074";"6631";"";"";"";"";"1";0.17;1.0
"dia";"Morgana";"25";"TOP";2846;0;148;1;0.0;0.052;0.0004;3.0;"8439";"8446";"8429";"8451";"8400";"8439";"8446";"8300";"5002";"5008";"5008";"12";"4";1;1.0;0.0;"";"";"1";"1";"0";"2";"1";"3";1;1.0;0.0;"1056";"2003";"2003";"3340";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3009";1;1.0;0.0;"";1;1.0;0.0;"6653";"3116";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
