"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"em";"Lucian";"";"";573;43;0;74;0.5811;0.0;0.1291;3.93;"8005";"8009";"9104";"8014";"8000";"8005";"8009";"8100";"5002";"5008";"5005";"1";"4";29;0.39;0.62;"7";"4";"16";"0.22";"0.38";"1";"3";"2";47;0.64;0.51;"6670";"2003";"2003";"";"";"";"";"";33;0.45;0.58;"3057";"1036";"1036";"";"";"";"";"";7;0.09;0.29;"3006";37;0.5;0.51;"3111";17;0.23;0.59;"6672";"6675";"3072";"";"";"";"5";0.07;0.8;"6672";"6675";"3508";"";"";"";"4";0.05;0.5;"6672";"";"";"";"";"";"3";0.04;1.0
"em";"Lulu";"";"";573;22;0;37;0.5946;0.0;0.0646;7.23;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8000";"5002";"5008";"5008";"3";"4";18;0.49;0.56;"4";"3";"7";"0.19";"0.57";"3";"2";"1";16;0.43;0.75;"4642";"3070";"2003";"";"";"";"";"";14;0.38;0.64;"3070";"4642";"";"";"";"";"";"";4;0.11;0.5;"3158";33;0.89;0.61;"3020";2;0.05;0.5;"2065";"3504";"";"";"";"";"2";0.05;0.5;"2065";"3003";"3504";"6616";"3011";"";"1";0.03;0.0;"6617";"3504";"3222";"6616";"3011";"";"1";0.03;1.0
"em";"Velkoz";"";"";573;23;0;44;0.5227;0.0;0.0768;4.54;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"7";"4";13;0.3;0.46;"6";"4";"5";"0.11";"0.2";"1";"2";"3";35;0.8;0.51;"3802";"1001";"";"";"";"";"";"";31;0.7;0.48;"3802";"";"";"";"";"";"";"";4;0.09;0.5;"3020";37;0.84;0.57;"3158";3;0.07;0.0;"6653";"4645";"";"";"";"";"3";0.07;0.67;"6655";"4645";"4628";"";"";"";"3";0.07;0.67;"6653";"4637";"3165";"";"";"";"2";0.05;0.5
"em";"Ahri";"";"";573;37;0;68;0.5441;0.0;0.1187;3.99;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";39;0.57;0.51;"4";"32";"8";"0.12";"0.62";"1";"2";"3";37;0.54;0.62;"3802";"1001";"";"";"";"";"";"";56;0.82;0.57;"3802";"";"";"";"";"";"";"";6;0.09;0.5;"3020";56;0.82;0.54;"3158";6;0.09;0.5;"6655";"4645";"";"";"";"";"10";0.15;0.3;"6655";"4645";"3089";"";"";"";"6";0.09;0.67;"6655";"4645";"3157";"";"";"";"6";0.09;0.83
"em";"Jhin";"";"";573;47;0;81;0.5802;0.0;0.1414;5.89;"8128";"8139";"8138";"8135";"8100";"8128";"8139";"8000";"5002";"5008";"5008";"6";"4";47;0.58;0.62;"4";"6";"14";"0.17";"0.5";"1";"2";"3";57;0.7;0.56;"3134";"1001";"";"";"";"";"";"";26;0.32;0.58;"1038";"2003";"2003";"";"";"";"";"";10;0.12;0.8;"3009";63;0.78;0.57;"3006";6;0.07;0.5;"6691";"6696";"6676";"";"";"";"4";0.05;0.5;"3095";"6671";"3094";"3036";"";"";"3";0.04;0.33;"6696";"6691";"6676";"";"";"";"3";0.04;1.0
"em";"Ryze";"";"";573;21;0;39;0.5385;0.0;0.0681;3.99;"8230";"8226";"8210";"8236";"8200";"8230";"8226";"8100";"5002";"5008";"5008";"6";"4";29;0.74;0.55;"4";"6";"6";"0.15";"0.5";"1";"3";"2";30;0.77;0.57;"1026";"3070";"2031";"";"";"";"";"";16;0.41;0.38;"3070";"1026";"";"";"";"";"";"";3;0.08;0.0;"3020";26;0.67;0.5;"3158";6;0.15;0.83;"6657";"3003";"";"";"";"";"6";0.15;0.5;"6657";"3003";"4629";"";"";"";"4";0.1;0.75;"6657";"3003";"3089";"";"";"";"2";0.05;0.5
"em";"Yone";"";"";573;25;0;55;0.4545;0.0;0.096;2.71;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"32";"4";39;0.71;0.51;"4";"32";"14";"0.25";"0.21";"1";"3";"2";35;0.64;0.46;"3006";"1042";"";"";"";"";"";"";27;0.49;0.52;"6670";"2003";"2003";"";"";"";"";"";7;0.13;0.29;"3006";48;0.87;0.44;"3111";5;0.09;0.6;"6672";"3031";"";"";"";"";"5";0.09;0.4;"6672";"3031";"3072";"";"";"";"3";0.05;0.0;"6672";"6671";"";"";"";"";"2";0.04;1.0
"em";"Talon";"";"";573;8;0;24;0.3333;0.0;0.0419;2.48;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";16;0.67;0.38;"4";"32";"3";"0.12";"0";"2";"1";"3";17;0.71;0.41;"3134";"1001";"";"";"";"";"";"";18;0.75;0.28;"3134";"1001";"3070";"1036";"1036";"1001";"";"";2;0.08;0.5;"3158";14;0.58;0.36;"3111";5;0.21;0.2;"6691";"6696";"";"";"";"";"2";0.08;0.0;"6691";"3004";"6696";"6676";"6696";"";"1";0.04;1.0;"6696";"6691";"6695";"6676";"";"";"1";0.04;0.0
"em";"Ezreal";"";"";573;44;0;86;0.5116;0.0;0.1501;4.27;"8010";"8009";"9103";"8014";"8000";"8010";"8009";"8200";"5002";"5008";"5005";"1";"4";32;0.37;0.5;"7";"4";"24";"0.28";"0.5";"1";"3";"2";58;0.67;0.57;"3057";"3070";"1001";"";"";"";"";"";46;0.53;0.57;"3070";"3057";"1001";"";"";"";"";"";11;0.13;0.36;"3158";74;0.86;0.54;"3111";5;0.06;0.4;"3078";"3004";"";"";"";"";"9";0.1;0.56;"3078";"3004";"6694";"";"";"";"8";0.09;0.5;"3078";"3004";"3074";"";"";"";"6";0.07;0.83
"em";"Kaisa";"";"";573;35;0;66;0.5303;0.0;0.1152;4.24;"8128";"8139";"8138";"8135";"8100";"8128";"8139";"8000";"5002";"5008";"5008";"6";"4";19;0.29;0.63;"7";"4";"12";"0.18";"0.42";"2";"1";"3";27;0.41;0.52;"3802";"1001";"";"";"";"";"";"";17;0.26;0.53;"6670";"2003";"2003";"";"";"";"";"";7;0.11;0.43;"3006";36;0.55;0.58;"3020";25;0.38;0.44;"6672";"6675";"3046";"";"";"";"4";0.06;0.75;"6655";"3004";"3115";"3089";"";"";"4";0.06;0.5;"6655";"3004";"";"";"";"";"3";0.05;0.67
"em";"Zed";"";"";573;30;0;59;0.5085;0.0;0.103;3.4;"8128";"8143";"8138";"8106";"8100";"8112";"8143";"8000";"5002";"5008";"5008";"32";"4";42;0.71;0.5;"4";"32";"13";"0.22";"0.62";"1";"3";"2";37;0.63;0.46;"3134";"1001";"";"";"";"";"";"";22;0.37;0.45;"3077";"2031";"";"";"";"";"";"";8;0.14;0.5;"3158";43;0.73;0.51;"3111";12;0.2;0.42;"6691";"3074";"6676";"";"";"";"4";0.07;0.5;"6691";"3074";"3071";"";"";"";"3";0.05;0.0;"6691";"3074";"6694";"";"";"";"3";0.05;0.67
"em";"Leblanc";"";"";573;24;0;61;0.3934;0.0;0.1065;3.45;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";28;0.46;0.5;"14";"4";"14";"0.23";"0.5";"2";"1";"3";33;0.54;0.36;"3802";"1001";"";"";"";"";"";"";23;0.38;0.52;"2015";"1036";"1036";"";"";"";"";"";7;0.11;0.14;"3020";45;0.74;0.42;"3158";8;0.13;0.25;"6655";"4645";"3089";"3135";"";"";"5";0.08;0.4;"6655";"4645";"";"";"";"";"3";0.05;0.33;"6655";"3089";"";"";"";"";"3";0.05;0.33
"em";"Aphelios";"";"";573;20;0;36;0.5556;0.0;0.0628;3.23;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"6";"4";20;0.56;0.55;"1";"4";"5";"0.14";"0.4";"1";"2";"3";13;0.36;0.54;"6670";"2003";"2003";"";"";"";"";"";11;0.31;0.36;"6670";"";"";"";"";"";"";"";9;0.25;0.67;"3006";31;0.86;0.48;"3111";2;0.06;1.0;"6672";"6671";"";"";"";"";"4";0.11;0.25;"6672";"3031";"";"";"";"";"3";0.08;0.67;"6672";"3031";"3072";"6673";"";"";"2";0.06;0.0
"em";"Yasuo";"";"";573;22;0;43;0.5116;0.0;0.075;2.54;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"32";"4";31;0.72;0.61;"4";"32";"6";"0.14";"0.17";"1";"3";"2";30;0.7;0.57;"3006";"1042";"";"";"";"";"";"";23;0.53;0.61;"6670";"2003";"2003";"";"";"";"";"";7;0.16;0.57;"3006";34;0.79;0.5;"3111";5;0.12;0.6;"6672";"6671";"";"";"";"";"2";0.05;0.5;"6672";"6665";"";"";"";"";"2";0.05;0.0;"3153";"6665";"6673";"3091";"";"";"1";0.02;0.0
"em";"Rakan";"";"";573;13;0;27;0.4815;0.0;0.0471;4.23;"8465";"8463";"8473";"8242";"8400";"8465";"8463";"8100";"5002";"5008";"5008";"32";"4";14;0.52;0.36;"4";"32";"10";"0.37";"0.7";"2";"3";"1";16;0.59;0.56;"2051";"3070";"2003";"";"";"";"";"";11;0.41;0.27;"3105";"2031";"";"";"";"";"";"";3;0.11;0.67;"3111";12;0.44;0.33;"3158";8;0.3;0.75;"6667";"3119";"";"";"";"";"3";0.11;0.0;"6667";"3119";"3083";"";"";"";"2";0.07;0.0;"6665";"4401";"3075";"3083";"";"";"1";0.04;0.0
