"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"gold";"Vex";"";"";738;28;0;52;0.5385;0.0;0.0705;3.77;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";32;0.62;0.56;"4";"32";"14";"0.27";"0.64";"1";"2";"3";36;0.69;0.58;"3802";"1001";"";"";"";"";"";"";45;0.87;0.62;"3803";"2003";"2003";"";"";"";"";"";1;0.02;0.0;"3020";49;0.94;0.53;"";1;0.02;0.0;"6655";"";"";"";"";"";"3";0.06;0.33;"6655";"4645";"3157";"";"";"";"3";0.06;0.33;"6655";"3157";"4645";"4628";"";"";"2";0.04;0.5
"gold";"Ornn";"";"";738;12;0;26;0.4615;0.0;0.0352;4.01;"8439";"8463";"8429";"8451";"8400";"8439";"8463";"8000";"5003";"5002";"5007";"32";"4";22;0.85;0.45;"4";"32";"2";"0.08";"1";"1";"2";"3";11;0.42;0.55;"3105";"2031";"";"";"";"";"";"";11;0.42;0.55;"2051";"3070";"2003";"";"";"";"";"";3;0.12;0.67;"3111";17;0.65;0.35;"3047";6;0.23;0.67;"6665";"3083";"3068";"";"";"";"2";0.08;0.5;"6665";"3083";"4401";"";"";"";"2";0.08;0.5;"3084";"3075";"3065";"";"";"";"1";0.04;0.0
"gold";"Shyvana";"";"";738;13;0;27;0.4815;0.0;0.0366;3.06;"8128";"8143";"8138";"8135";"8100";"8128";"8143";"8200";"5002";"5008";"5008";"32";"4";15;0.56;0.53;"4";"32";"6";"0.22";"0.33";"3";"2";"1";14;0.52;0.43;"3145";"1001";"2003";"";"";"";"";"";10;0.37;0.3;"3145";"1001";"";"";"";"";"";"";8;0.3;0.38;"3020";22;0.81;0.55;"3158";4;0.15;0.25;"4636";"4645";"4628";"";"";"";"4";0.15;0.25;"4636";"4645";"";"";"";"";"2";0.07;0.5;"4636";"4645";"3089";"4628";"3135";"";"2";0.07;0.5
"gold";"Nilah";"";"";738;8;0;20;0.4;0.0;0.0271;2.51;"8010";"9111";"9103";"8014";"8000";"8010";"9111";"8100";"5002";"5008";"5005";"32";"4";16;0.8;0.44;"6";"4";"2";"0.1";"0.5";"1";"3";"2";14;0.7;0.5;"3134";"1001";"";"";"";"";"";"";10;0.5;0.3;"3077";"2031";"";"";"";"";"";"";1;0.05;0.0;"3111";9;0.45;0.44;"3006";9;0.45;0.22;"6676";"6675";"";"";"";"";"3";0.15;0.0;"6676";"6675";"6673";"";"";"";"2";0.1;0.0;"3074";"6673";"3031";"3036";"";"";"1";0.05;0.0
"gold";"Ziggs";"";"";738;25;0;46;0.5435;0.0;0.0623;4.77;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"13";"4";25;0.54;0.52;"4";"13";"4";"0.09";"0.25";"1";"3";"2";32;0.7;0.56;"3802";"1001";"";"";"";"";"";"";29;0.63;0.62;"3108";"3070";"2003";"2003";"";"";"";"";3;0.07;1.0;"3020";39;0.85;0.56;"3158";5;0.11;0.4;"6653";"4637";"3135";"";"";"";"3";0.07;0.67;"6655";"4645";"";"";"";"";"2";0.04;0.5;"6653";"4637";"3089";"";"";"";"2";0.04;0.5
"gold";"Sejuani";"";"";738;14;0;23;0.6087;0.0;0.0312;4.02;"8439";"8463";"8429";"8451";"8400";"8439";"8463";"8000";"5001";"5002";"5005";"32";"4";19;0.83;0.63;"4";"32";"4";"0.17";"0.5";"2";"1";"3";16;0.7;0.81;"2051";"3070";"2003";"";"";"";"";"";5;0.22;0.4;"1011";"1028";"2003";"2003";"";"";"";"";4;0.17;0.75;"3111";19;0.83;0.58;"3047";4;0.17;0.75;"6665";"3068";"3083";"";"";"";"2";0.09;1.0;"3084";"3068";"";"";"";"";"2";0.09;1.0;"3084";"3068";"4401";"8020";"8020";"";"1";0.04;1.0
"gold";"Sona";"";"";738;15;0;29;0.5172;0.0;0.0393;5.5;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8000";"5002";"5008";"5008";"13";"4";10;0.34;0.5;"3";"4";"3";"0.1";"0";"1";"2";"3";15;0.52;0.47;"4642";"3070";"2003";"";"";"";"";"";9;0.31;0.56;"3802";"1001";"";"";"";"";"";"";4;0.14;0.5;"3158";14;0.48;0.57;"3020";9;0.31;0.44;"6655";"3100";"3089";"";"";"";"1";0.03;1.0;"6617";"3504";"6616";"3003";"";"";"1";0.03;0.0;"6655";"4645";"3089";"3157";"4637";"";"1";0.03;1.0
"gold";"Jhin";"";"";738;59;0;96;0.6146;0.0;0.1301;5.35;"8128";"8139";"8138";"8135";"8100";"8128";"8139";"8000";"5002";"5008";"5008";"6";"4";63;0.66;0.67;"4";"6";"18";"0.19";"0.5";"1";"2";"3";69;0.72;0.64;"3134";"1001";"";"";"";"";"";"";32;0.33;0.62;"6670";"2003";"2003";"";"";"";"";"";18;0.19;0.72;"3009";75;0.78;0.64;"3006";7;0.07;0.43;"6691";"6696";"6676";"";"";"";"7";0.07;0.43;"3095";"6671";"3094";"";"";"";"4";0.04;0.5;"3095";"6671";"3094";"6676";"";"";"2";0.02;0.5
"gold";"Gwen";"";"";738;8;0;15;0.5333;0.0;0.0203;2.92;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8100";"5002";"5008";"5005";"32";"4";8;0.53;0.5;"4";"32";"2";"0.13";"0.5";"1";"3";"2";9;0.6;0.56;"4635";"2003";"2003";"";"";"";"";"";5;0.33;0.8;"4635";"";"";"";"";"";"";"";5;0.33;0.4;"3111";8;0.53;0.38;"3020";4;0.27;0.5;"4633";"3115";"";"";"";"";"5";0.33;0.6;"4633";"3115";"4629";"4401";"";"";"1";0.07;1.0;"4633";"4645";"4629";"3116";"3089";"4637";"1";0.07;1.0
"gold";"Zilean";"";"";738;22;0;46;0.4783;0.0;0.0623;5.09;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";14;0.3;0.43;"13";"4";"9";"0.2";"0.11";"1";"2";"3";29;0.63;0.48;"3802";"1001";"";"";"";"";"";"";28;0.61;0.46;"3112";"3070";"2003";"";"";"";"";"";3;0.07;0.67;"3020";23;0.5;0.43;"3158";22;0.48;0.55;"6655";"4628";"";"";"";"";"4";0.09;0.5;"6656";"4629";"3157";"";"";"";"1";0.02;1.0;"6655";"4401";"3003";"4629";"3050";"";"1";0.02;1.0
