"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"grand";"KSante";"";"";384;17;0;35;0.4857;0.0;0.0911;3.73;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8000";"5002";"5002";"5005";"32";"4";21;0.6;0.43;"4";"32";"7";"0.2";"0.57";"1";"2";"3";20;0.57;0.5;"3105";"2031";"";"";"";"";"";"";9;0.26;0.56;"2051";"1028";"2003";"";"";"";"";"";6;0.17;0.33;"3111";19;0.54;0.47;"3047";14;0.4;0.5;"6665";"3068";"";"";"";"";"5";0.14;0.6;"6665";"3068";"3193";"";"";"";"4";0.11;0.75;"3084";"3068";"4401";"3193";"";"";"2";0.06;0.5
"grand";"Chogath";"";"";384;12;0;24;0.5;0.0;0.0625;3.44;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8000";"5002";"5008";"5005";"32";"4";15;0.62;0.53;"4";"32";"6";"0.25";"0.67";"1";"2";"3";16;0.67;0.56;"3801";"1028";"2031";"";"";"";"";"";4;0.17;0.75;"2051";"3070";"2003";"";"";"";"";"";2;0.08;1.0;"3111";13;0.54;0.54;"3047";6;0.25;0.67;"3084";"3083";"";"";"";"";"3";0.12;0.67;"3084";"3083";"3068";"3075";"";"";"2";0.08;0.0;"6665";"3083";"3075";"";"";"";"2";0.08;1.0
"grand";"Caitlyn";"";"";384;21;0;45;0.4667;0.0;0.1172;3.72;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5005";"6";"4";18;0.4;0.33;"1";"4";"7";"0.16";"0.57";"1";"2";"3";30;0.67;0.47;"3134";"1001";"";"";"";"";"";"";14;0.31;0.5;"6670";"2003";"2003";"";"";"";"";"";8;0.18;0.38;"3006";21;0.47;0.38;"3158";16;0.36;0.69;"3095";"3031";"3094";"";"";"";"2";0.04;0.5;"3031";"6672";"3095";"3094";"";"";"1";0.02;1.0;"3095";"3036";"3031";"3094";"";"";"1";0.02;1.0
"grand";"Ezreal";"";"";384;38;0;54;0.7037;0.0;0.1406;4.84;"8010";"8009";"9103";"8014";"8000";"8010";"8009";"8200";"5002";"5008";"5005";"1";"4";24;0.44;0.71;"6";"4";"8";"0.15";"0.88";"1";"3";"2";44;0.81;0.7;"3057";"3070";"1001";"";"";"";"";"";27;0.5;0.74;"3070";"3057";"1001";"";"";"";"";"";4;0.07;0.25;"3158";42;0.78;0.69;"3111";6;0.11;0.67;"3078";"3004";"6694";"";"";"";"10";0.19;0.9;"6632";"3004";"6694";"3074";"";"";"5";0.09;0.4;"6632";"3004";"";"";"";"";"3";0.06;0.33
"grand";"Kayn";"";"";384;11;0;25;0.44;0.0;0.0651;2.52;"8010";"9111";"9105";"8299";"8000";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";19;0.76;0.53;"4";"32";"6";"0.24";"0.17";"1";"2";"3";10;0.4;0.6;"3070";"1036";"1036";"1001";"";"";"";"";9;0.36;0.44;"3177";"3070";"2003";"";"";"";"";"";6;0.24;0.33;"3158";10;0.4;0.6;"3111";5;0.2;0.0;"6630";"3004";"3071";"";"";"";"2";0.08;0.0;"6691";"6694";"6695";"3004";"";"";"1";0.04;1.0;"6691";"6676";"3004";"";"";"";"1";0.04;0.0
"grand";"Heimerdinger";"";"";384;7;0;17;0.4118;0.0;0.0443;3.44;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";9;0.53;0.11;"4";"3";"5";"0.29";"0.6";"1";"2";"3";9;0.53;0.56;"3802";"1001";"";"";"";"";"";"";9;0.53;0.22;"3802";"";"";"";"";"";"";"";3;0.18;1.0;"3020";14;0.82;0.5;"3158";2;0.12;0.0;"6653";"3116";"";"";"";"";"2";0.12;0.5;"6653";"3116";"4637";"3157";"";"";"2";0.12;0.0;"3116";"6653";"4637";"3135";"";"";"1";0.06;0.0
"grand";"Azir";"";"";384;13;0;25;0.52;0.0;0.0651;2.96;"8010";"8009";"9104";"8014";"8000";"8010";"8009";"8200";"5002";"5008";"5005";"32";"4";13;0.52;0.54;"4";"32";"4";"0.16";"0.25";"2";"1";"3";10;0.4;0.4;"3802";"1001";"";"";"";"";"";"";21;0.84;0.52;"3802";"";"";"";"";"";"";"";2;0.08;0.5;"3020";21;0.84;0.52;"3111";1;0.04;1.0;"6655";"3115";"4645";"";"";"";"4";0.16;0.75;"6653";"3115";"3157";"";"";"";"2";0.08;0.5;"6653";"3115";"3116";"3135";"";"";"1";0.04;0.0
"grand";"Lulu";"";"";384;14;0;30;0.4667;0.0;0.0781;5.84;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8000";"5002";"5008";"5008";"3";"4";16;0.53;0.44;"4";"3";"7";"0.23";"0.57";"3";"2";"1";17;0.57;0.59;"4642";"3070";"2003";"";"";"";"";"";17;0.57;0.53;"4642";"1028";"2003";"";"";"";"";"";3;0.1;0.33;"3158";27;0.9;0.48;"3020";1;0.03;0.0;"2065";"3003";"3504";"";"";"";"2";0.07;0.5;"2065";"3011";"";"";"";"";"2";0.07;0.0;"2065";"3504";"";"";"";"";"2";0.07;0.5
"grand";"MasterYi";"";"";384;8;0;25;0.32;0.0;0.0651;2.35;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8400";"5002";"5008";"5005";"32";"4";16;0.64;0.25;"4";"32";"7";"0.28";"0.29";"1";"3";"2";16;0.64;0.31;"3134";"1001";"";"";"";"";"";"";10;0.4;0.4;"1011";"1028";"";"";"";"";"";"";2;0.08;0.5;"3006";13;0.52;0.38;"3111";7;0.28;0.29;"6691";"6676";"3153";"";"";"";"2";0.08;0.0;"3084";"3748";"3143";"";"";"";"1";0.04;0.0;"6672";"3153";"6665";"";"";"";"1";0.04;1.0
"grand";"KogMaw";"";"";384;18;0;32;0.5625;0.0;0.0833;3.91;"8008";"8009";"9104";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"6";"4";16;0.5;0.56;"4";"6";"4";"0.12";"0.75";"2";"1";"3";10;0.31;0.7;"3006";"1042";"";"";"";"";"";"";10;0.31;0.4;"3070";"3112";"";"";"";"";"";"";2;0.06;1.0;"3006";19;0.59;0.47;"3020";10;0.31;0.8;"3124";"3153";"3085";"3091";"";"";"2";0.06;0.5;"3153";"";"";"";"";"";"2";0.06;0.5;"3124";"3153";"3748";"3143";"";"";"1";0.03;0.0
