"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"grand";"KSante";"897";"TOP";2476;251;82;470;0.534;0.0331;0.1898;3.19;"8437";"8446";"8444";"8451";"8400";"8437";"8446";"8300";"5002";"5002";"5005";"12";"4";283;0.6;0.52;"4";"12";"174";"0.37";"0.57";"1";"2";"3";431;0.92;0.55;"1054";"2003";"";"";"";"";"";"";256;0.54;0.55;"1054";"2003";"3340";"";"";"";"";"";159;0.34;0.5;"3047";294;0.63;0.54;"3111";116;0.25;0.59;"6662";"";"";"";"";"";"106";0.23;0.44;"6662";"3075";"";"";"";"";"55";0.12;0.53;"6662";"3068";"";"";"";"";"48";0.1;0.69
"grand";"Leblanc";"7";"TOP";2476;7;1126;13;0.5385;0.4548;0.0053;3.33;"8021";"8009";"9104";"8014";"8000";"8021";"8009";"8400";"5003";"5008";"5005";"12";"4";7;0.54;0.71;"4";"12";"4";"0.31";"0.5";"1";"2";"3";7;0.54;0.57;"1036";"2031";"3340";"";"";"";"";"";8;0.62;0.5;"1036";"2031";"";"";"";"";"";"";3;0.23;0.67;"3158";3;0.23;0.67;"3020";3;0.23;0.67;"3087";"";"";"";"";"";"4";0.31;0.5;"3087";"3078";"";"";"";"";"2";0.15;1.0;"3095";"6632";"6632";"3094";"3100";"3161";"1";0.08;1.0
"grand";"Shyvana";"102";"TOP";2476;1;2;1;1.0;0.0008;0.0004;1.0;"8008";"9111";"9104";"8299";"8000";"8008";"9111";"8400";"5002";"5008";"5005";"6";"12";1;1.0;1.0;"";"";"1";"1";"0";"3";"1";"2";1;1.0;1.0;"1054";"2003";"1083";"2003";"";"";"";"";1;1.0;1.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3158";1;1.0;1.0;"";1;1.0;0.0;"3074";"";"";"";"";"";"1";1.0;1.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"grand";"Ashe";"22";"TOP";2476;1;22;2;0.5;0.0089;0.0008;2.1;"8008";"8009";"9103";"8299";"8000";"8008";"8009";"8300";"5002";"5008";"5005";"4";"6";2;1.0;0.5;"";"";"1";"0.5";"0";"1";"2";"3";1;0.5;1.0;"1055";"2003";"";"";"";"";"";"";1;0.5;1.0;"1036";"2031";"";"";"";"";"";"";1;0.5;0.0;"3006";1;0.5;1.0;"3009";1;0.5;0.0;"6672";"3078";"3085";"";"";"";"1";0.5;1.0;"6672";"";"";"";"";"";"1";0.5;0.0;"";"";"";"";"";"";"1";0.5;0.0
"grand";"Nunu";"20";"TOP";2476;0;59;1;0.0;0.0238;0.0004;3.86;"8230";"8275";"8234";"8232";"8200";"8230";"8275";"8000";"5002";"5008";"5008";"6";"4";1;1.0;0.0;"";"";"1";"1";"0";"1";"3";"2";1;1.0;0.0;"1056";"2003";"2003";"3340";"3364";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3111";1;1.0;0.0;"";1;1.0;0.0;"6667";"3075";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"grand";"Aatrox";"266";"TOP";2476;116;73;219;0.5297;0.0295;0.0884;2.58;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";134;0.61;0.53;"4";"12";"81";"0.37";"0.54";"1";"3";"2";203;0.93;0.55;"1054";"2003";"3340";"";"";"";"";"";86;0.39;0.52;"1054";"2003";"";"";"";"";"";"";80;0.37;0.56;"3047";150;0.68;0.54;"3111";37;0.17;0.49;"6630";"";"";"";"";"";"74";0.34;0.41;"6630";"3161";"";"";"";"";"29";0.13;0.52;"6630";"3071";"";"";"";"";"15";0.07;0.6
"grand";"Darius";"122";"TOP";2476;36;65;66;0.5455;0.0263;0.0267;2.26;"8010";"9111";"9104";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5005";"6";"4";37;0.56;0.51;"4";"6";"27";"0.41";"0.59";"1";"3";"2";57;0.86;0.6;"1054";"2003";"";"";"";"";"";"";16;0.24;0.69;"1054";"2003";"3340";"";"";"";"";"";13;0.2;0.38;"3047";40;0.61;0.55;"3111";19;0.29;0.63;"6631";"";"";"";"";"";"13";0.2;0.38;"6631";"3161";"";"";"";"";"5";0.08;0.2;"6632";"3161";"";"";"";"";"3";0.05;1.0
"grand";"Nidalee";"76";"TOP";2476;1;1134;6;0.1667;0.458;0.0024;3.39;"8437";"8446";"8473";"8242";"8400";"8437";"8446";"8000";"5002";"5008";"5005";"14";"4";4;0.67;0.25;"14";"6";"1";"0.17";"0";"3";"1";"2";5;0.83;0.2;"1055";"2003";"3340";"";"";"";"";"";4;0.67;0.25;"1055";"2003";"";"";"";"";"";"";2;0.33;0.0;"3158";3;0.5;0.0;"3047";2;0.33;0.5;"6662";"8020";"3116";"";"";"";"2";0.33;0.0;"6662";"8020";"";"";"";"";"1";0.17;1.0;"6662";"8020";"4629";"3116";"";"";"1";0.17;0.0
"grand";"Belveth";"200";"TOP";2476;4;478;7;0.5714;0.1931;0.0028;4.19;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"14";"12";3;0.43;0.67;"12";"4";"2";"0.29";"0.5";"2";"1";"3";7;1.0;0.57;"3340";"1055";"2003";"";"";"";"";"";4;0.57;0.5;"1055";"2003";"";"";"";"";"";"";2;0.29;0.5;"3009";3;0.43;0.67;"3047";3;0.43;0.33;"3074";"6662";"3053";"";"";"";"2";0.29;0.5;"3074";"6662";"";"";"";"";"1";0.14;1.0;"3181";"6631";"3181";"6631";"3748";"";"1";0.14;1.0
"grand";"Camille";"164";"TOP";2476;26;16;51;0.5098;0.0065;0.0206;2.78;"8437";"8401";"8473";"8242";"8400";"8437";"8401";"8300";"5002";"5008";"5005";"12";"4";18;0.35;0.56;"14";"12";"13";"0.25";"0.38";"1";"3";"2";45;0.88;0.53;"1054";"2003";"";"";"";"";"";"";21;0.41;0.62;"1054";"2003";"3340";"";"";"";"";"";11;0.22;0.55;"3047";22;0.43;0.59;"3111";11;0.22;0.55;"6632";"";"";"";"";"";"14";0.27;0.36;"6632";"3074";"";"";"";"";"10";0.2;0.4;"3078";"3074";"6333";"";"";"";"3";0.06;0.67
