"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"iron";"Karma";"";"";516;24;0;50;0.48;0.0;0.0969;4.26;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";23;0.46;0.43;"4";"3";"11";"0.22";"0.55";"1";"3";"2";25;0.5;0.48;"3802";"1001";"";"";"";"";"";"";38;0.76;0.42;"3802";"2031";"";"";"";"";"";"";2;0.04;1.0;"3020";43;0.86;0.44;"3158";3;0.06;0.67;"6655";"4645";"";"";"";"";"8";0.16;0.62;"6655";"3089";"4645";"";"";"";"3";0.06;0.67;"6655";"";"";"";"";"";"3";0.06;0.33
"iron";"Ashe";"";"";516;33;0;65;0.5077;0.0;0.126;4.27;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8300";"5002";"5008";"5005";"6";"4";27;0.42;0.63;"4";"6";"14";"0.22";"0.5";"2";"1";"3";31;0.48;0.39;"6670";"2003";"2003";"";"";"";"";"";21;0.32;0.48;"4642";"3070";"2003";"";"";"";"";"";13;0.2;0.69;"3006";33;0.51;0.48;"3158";26;0.4;0.5;"6672";"3078";"";"";"";"";"6";0.09;0.67;"6672";"3078";"3153";"";"";"";"3";0.05;0.33;"4005";"6653";"3004";"";"";"";"2";0.03;1.0
"iron";"Xerath";"";"";516;25;0;56;0.4464;0.0;0.1085;5.39;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"13";"4";24;0.43;0.5;"4";"13";"9";"0.16";"0.56";"1";"2";"3";39;0.7;0.46;"3802";"1001";"";"";"";"";"";"";43;0.77;0.47;"3802";"";"";"";"";"";"";"";2;0.04;0.5;"3020";50;0.89;0.48;"3158";5;0.09;0.2;"6655";"4645";"";"";"";"";"5";0.09;0.4;"6655";"4645";"3089";"";"";"";"5";0.09;0.6;"6655";"4628";"4645";"";"";"";"4";0.07;0.5
"iron";"Malphite";"";"";516;39;0;72;0.5417;0.0;0.1395;2.94;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8200";"5002";"5008";"5008";"32";"4";40;0.56;0.57;"4";"32";"18";"0.25";"0.61";"1";"3";"2";44;0.61;0.57;"3145";"1001";"2003";"";"";"";"";"";30;0.42;0.53;"3802";"1001";"";"";"";"";"";"";13;0.18;0.54;"3020";46;0.64;0.63;"3158";5;0.07;0.4;"4636";"4645";"3089";"";"";"";"5";0.07;0.8;"4636";"4645";"";"";"";"";"4";0.06;0.5;"4636";"";"";"";"";"";"3";0.04;0.67
"iron";"Kindred";"";"";516;9;0;19;0.4737;0.0;0.0368;3.95;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"6";"4";7;0.37;0.43;"4";"6";"6";"0.32";"0.5";"1";"2";"3";8;0.42;0.62;"6670";"2003";"2003";"";"";"";"";"";10;0.53;0.5;"1038";"2003";"2003";"";"";"";"";"";3;0.16;0.0;"3006";13;0.68;0.46;"3111";4;0.21;0.5;"6671";"";"";"";"";"";"2";0.11;0.0;"6672";"3078";"3091";"3071";"3153";"";"1";0.05;1.0;"3078";"6672";"";"";"";"";"1";0.05;0.0
"iron";"Leblanc";"";"";516;17;0;38;0.4474;0.0;0.0736;3.62;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";21;0.55;0.48;"4";"32";"8";"0.21";"0.12";"2";"1";"3";17;0.45;0.53;"3802";"1001";"";"";"";"";"";"";23;0.61;0.48;"2015";"1036";"1036";"";"";"";"";"";5;0.13;0.6;"3020";26;0.68;0.46;"3158";5;0.13;0.4;"6655";"4645";"";"";"";"";"5";0.13;0.2;"6655";"4645";"3157";"";"";"";"2";0.05;0.5;"3087";"6632";"";"";"";"";"2";0.05;1.0
"iron";"Heimerdinger";"";"";516;23;0;43;0.5349;0.0;0.0833;4.04;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";18;0.42;0.61;"4";"3";"6";"0.14";"0.5";"1";"2";"3";18;0.42;0.67;"3802";"1001";"";"";"";"";"";"";33;0.77;0.52;"3112";"3070";"2003";"";"";"";"";"";2;0.05;0.5;"3020";36;0.84;0.53;"3047";1;0.02;1.0;"6653";"";"";"";"";"";"5";0.12;0.8;"6653";"3116";"";"";"";"";"4";0.09;0.0;"6653";"3116";"4637";"3165";"";"";"3";0.07;0.0
"iron";"Talon";"";"";516;16;0;35;0.4571;0.0;0.0678;3.01;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";22;0.63;0.5;"4";"32";"7";"0.2";"0.43";"2";"1";"3";26;0.74;0.46;"3134";"1001";"";"";"";"";"";"";25;0.71;0.48;"3177";"3070";"2003";"";"";"";"";"";3;0.09;0.33;"3158";19;0.54;0.42;"3111";10;0.29;0.6;"6691";"6696";"6676";"";"";"";"2";0.06;1.0;"6691";"6676";"6696";"6694";"";"";"2";0.06;0.5;"6691";"6676";"6696";"6693";"3814";"";"1";0.03;0.0
"iron";"Nidalee";"";"";516;32;0;63;0.5079;0.0;0.1221;5.28;"8128";"8143";"8138";"8135";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";35;0.56;0.51;"4";"32";"12";"0.19";"0.5";"1";"3";"2";39;0.62;0.49;"3802";"1001";"";"";"";"";"";"";52;0.83;0.44;"3145";"1001";"2003";"";"";"";"";"";2;0.03;1.0;"3020";54;0.86;0.54;"3158";4;0.06;0.5;"6655";"4645";"3089";"";"";"";"6";0.1;0.5;"6655";"4645";"4628";"";"";"";"5";0.08;0.2;"6655";"4645";"3135";"";"";"";"3";0.05;0.33
"iron";"KSante";"";"";516;7;0;19;0.3684;0.0;0.0368;3.12;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8000";"5002";"5002";"5005";"32";"4";12;0.63;0.42;"4";"32";"5";"0.26";"0.2";"1";"2";"3";8;0.42;0.5;"3105";"2031";"";"";"";"";"";"";11;0.58;0.45;"1011";"1028";"";"";"";"";"";"";3;0.16;0.33;"3111";10;0.53;0.4;"3047";7;0.37;0.43;"6665";"3068";"";"";"";"";"3";0.16;0.33;"6665";"3193";"";"";"";"";"2";0.11;0.0;"6632";"3083";"3065";"4401";"";"";"1";0.05;0.0
