"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"iron";"Cassiopeia";"69";"TOP";3079;6;33;13;0.4615;0.0107;0.0042;1.94;"8010";"8009";"9105";"8299";"8000";"8010";"8009";"8200";"5002";"5008";"5008";"12";"4";9;0.69;0.44;"4";"14";"2";"0.15";"1";"3";"1";"2";11;0.85;0.55;"3070";"2003";"2003";"3340";"";"";"";"";5;0.38;0.4;"3070";"2003";"2003";"";"";"";"";"";4;0.31;0.75;"";0;0.0;0.0;"";0;0.0;0.0;"6657";"3003";"3116";"";"";"";"3";0.23;0.0;"6657";"3003";"";"";"";"";"1";0.08;1.0;"6656";"6657";"3003";"";"";"";"1";0.08;1.0
"iron";"Karma";"43";"TOP";3079;3;17;7;0.4286;0.0055;0.0023;3.85;"8437";"8401";"8429";"8453";"8400";"8437";"8401";"8200";"5002";"5008";"5005";"12";"4";4;0.57;0.5;"14";"4";"2";"0.29";"0.5";"1";"3";"2";6;0.86;0.5;"1056";"2003";"2003";"";"";"";"";"";2;0.29;1.0;"1056";"2003";"2003";"3340";"";"";"";"";2;0.29;0.0;"3158";4;0.57;0.5;"3111";1;0.14;1.0;"6662";"";"";"";"";"";"2";0.29;0.0;"6662";"3119";"";"";"";"";"1";0.14;1.0;"6662";"3119";"3065";"3083";"";"";"1";0.14;1.0
"iron";"Taric";"44";"TOP";3079;1;5;2;0.5;0.0016;0.0006;3.1;"8439";"8463";"8473";"8242";"8400";"8439";"8463";"8100";"5001";"5002";"5005";"3";"4";1;0.5;1.0;"14";"4";"1";"0.5";"0";"1";"3";"2";2;1.0;0.5;"1055";"2003";"3340";"";"";"";"";"";1;0.5;1.0;"1036";"2003";"2003";"2003";"3340";"3364";"";"";1;0.5;0.0;"3111";1;0.5;1.0;"";1;0.5;0.0;"3068";"6665";"";"";"";"";"1";0.5;1.0;"6653";"3119";"3110";"";"";"";"1";0.5;0.0;"";"";"";"";"";"";"1";0.5;0.0
"iron";"MissFortune";"21";"TOP";3079;0;178;4;0.0;0.0578;0.0013;1.93;"8369";"8304";"8345";"8347";"8300";"8369";"8304";"8200";"5002";"5008";"5008";"7";"4";3;0.75;0.0;"12";"4";"1";"0.25";"0";"1";"2";"3";2;0.5;0.0;"1055";"2003";"";"";"";"";"";"";2;0.5;0.0;"1056";"2003";"2003";"3340";"";"";"";"";1;0.25;0.0;"3006";2;0.5;0.0;"3020";1;0.25;0.0;"6692";"6676";"";"";"";"";"1";0.25;0.0;"6655";"4645";"3089";"";"";"";"1";0.25;0.0;"3142";"3036";"3814";"6676";"";"";"1";0.25;0.0
"iron";"Milio";"902";"TOP";3079;0;20;1;0.0;0.0065;0.0003;5.67;"8351";"8304";"8345";"8347";"8300";"8351";"8304";"8200";"5001";"5008";"5007";"6";"4";1;1.0;0.0;"";"";"1";"1";"0";"1";"3";"2";1;1.0;0.0;"1027";"";"";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3117";1;1.0;0.0;"";1;1.0;0.0;"4644";"4629";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"iron";"Xerath";"101";"TOP";3079;3;636;3;1.0;0.2066;0.001;1.72;"8369";"8304";"8345";"8347";"8300";"8369";"8304";"8200";"5002";"5008";"5008";"6";"4";1;0.33;1.0;"7";"4";"1";"0.33";"1";"1";"3";"2";1;0.33;1.0;"1056";"2003";"2003";"3340";"";"";"";"";1;0.33;1.0;"3850";"2003";"2003";"1052";"1056";"2003";"2003";"3364";1;0.33;1.0;"3020";3;1.0;1.0;"";1;0.33;0.0;"6655";"";"";"";"";"";"2";0.67;1.0;"6655";"4645";"";"";"";"";"1";0.33;1.0;"";"";"";"";"";"";"1";0.33;0.0
"iron";"Urgot";"6";"TOP";3079;13;10;25;0.52;0.0032;0.0081;2.53;"8005";"9111";"9105";"8299";"8000";"8005";"9111";"8400";"5002";"5008";"5008";"12";"4";15;0.6;0.53;"4";"12";"7";"0.28";"0.71";"2";"3";"1";13;0.52;0.62;"1055";"2003";"";"";"";"";"";"";11;0.44;0.45;"1055";"2003";"3340";"";"";"";"";"";5;0.2;0.6;"3047";18;0.72;0.5;"3111";4;0.16;0.5;"3071";"6665";"3075";"";"";"";"3";0.12;0.67;"3071";"";"";"";"";"";"3";0.12;0.33;"3071";"3748";"";"";"";"";"3";0.12;0.33
"iron";"Caitlyn";"51";"TOP";3079;8;228;12;0.6667;0.0741;0.0039;2.6;"8008";"8009";"9103";"8014";"8000";"8369";"8304";"8200";"5002";"5008";"5005";"12";"4";4;0.33;0.5;"6";"4";"3";"0.25";"0.67";"1";"2";"3";5;0.42;0.6;"1036";"2003";"2003";"2003";"3340";"";"";"";3;0.25;0.67;"1055";"2003";"";"";"";"";"";"";2;0.17;1.0;"3006";6;0.5;0.67;"3158";3;0.25;0.33;"3142";"6676";"";"";"";"";"2";0.17;0.5;"3072";"3087";"3031";"";"";"";"1";0.08;1.0;"3142";"";"";"";"";"";"1";0.08;1.0
"iron";"Yorick";"83";"TOP";3079;39;80;64;0.6094;0.026;0.0208;1.97;"8010";"9111";"9103";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5005";"12";"4";42;0.66;0.64;"4";"12";"15";"0.23";"0.4";"1";"3";"2";53;0.83;0.57;"1054";"2003";"";"";"";"";"";"";23;0.36;0.65;"1054";"2003";"3340";"";"";"";"";"";18;0.28;0.61;"3047";37;0.58;0.54;"3111";10;0.16;0.7;"3078";"3181";"6694";"";"";"";"5";0.08;0.8;"3078";"";"";"";"";"";"4";0.06;0.5;"6632";"";"";"";"";"";"4";0.06;0.5
"iron";"Vayne";"67";"TOP";3079;35;158;67;0.5224;0.0513;0.0218;1.94;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8400";"5002";"5008";"5005";"6";"4";41;0.61;0.54;"4";"6";"8";"0.12";"0.12";"2";"1";"3";26;0.39;0.62;"1055";"2003";"";"";"";"";"";"";23;0.34;0.57;"1055";"2003";"3340";"";"";"";"";"";21;0.31;0.52;"3006";61;0.91;0.54;"3047";1;0.01;1.0;"3153";"";"";"";"";"";"7";0.1;0.29;"3087";"";"";"";"";"";"6";0.09;0.5;"6672";"3124";"";"";"";"";"3";0.04;0.67
