"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"mast";"Lux";"";"";528;31;0;65;0.4769;0.0;0.1231;5.52;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"13";"4";16;0.25;0.38;"3";"4";"15";"0.23";"0.33";"3";"1";"2";45;0.69;0.56;"3802";"1001";"";"";"";"";"";"";49;0.75;0.47;"3802";"2031";"";"";"";"";"";"";6;0.09;0.5;"3020";56;0.86;0.48;"3158";3;0.05;0.67;"6653";"4645";"";"";"";"";"5";0.08;0.4;"6655";"4645";"3089";"";"";"";"5";0.08;0.6;"6655";"4628";"";"";"";"";"3";0.05;0.67
"mast";"Viktor";"";"";528;17;0;39;0.4359;0.0;0.0739;3.94;"8128";"8139";"8138";"8135";"8100";"8128";"8139";"8000";"5002";"5008";"5008";"6";"4";29;0.74;0.52;"4";"6";"6";"0.15";"0.17";"3";"1";"2";31;0.79;0.52;"3802";"1001";"";"";"";"";"";"";20;0.51;0.5;"3802";"";"";"";"";"";"";"";6;0.15;0.0;"3020";33;0.85;0.48;"3158";2;0.05;0.5;"6655";"4645";"3100";"";"";"";"2";0.05;0.0;"6653";"";"";"";"";"";"2";0.05;0.0;"6655";"4645";"";"";"";"";"2";0.05;0.0
"mast";"Veigar";"";"";528;23;0;44;0.5227;0.0;0.0833;3.96;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"6";"4";16;0.36;0.38;"32";"4";"11";"0.25";"0.36";"1";"2";"3";21;0.48;0.67;"3802";"1001";"";"";"";"";"";"";21;0.48;0.67;"3803";"2003";"2003";"";"";"";"";"";7;0.16;0.57;"3020";24;0.55;0.62;"3111";8;0.18;0.62;"6657";"3083";"3089";"";"";"";"3";0.07;1.0;"6655";"3083";"3050";"3143";"";"";"1";0.02;0.0;"6657";"3089";"3135";"";"";"";"1";0.02;0.0
"mast";"LeeSin";"";"";528;28;0;58;0.4828;0.0;0.1098;3.46;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8100";"5002";"5008";"5005";"32";"4";43;0.74;0.42;"4";"32";"15";"0.26";"0.67";"1";"3";"2";25;0.43;0.52;"6029";"1001";"";"";"";"";"";"";21;0.36;0.62;"3134";"1001";"";"";"";"";"";"";15;0.26;0.2;"3111";33;0.57;0.52;"3047";11;0.19;0.45;"6630";"6333";"";"";"";"";"4";0.07;0.75;"6630";"3071";"6333";"";"";"";"2";0.03;0.5;"6630";"3071";"3156";"";"";"";"2";0.03;1.0
"mast";"Yuumi";"";"";528;15;0;34;0.4412;0.0;0.0644;11.63;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8000";"5002";"5008";"5008";"3";"13";11;0.32;0.36;"13";"3";"10";"0.29";"0.5";"1";"3";"2";21;0.62;0.48;"3802";"1004";"";"";"";"";"";"";15;0.44;0.4;"3802";"";"";"";"";"";"";"";5;0.15;0.4;"";0;0.0;0.0;"";0;0.0;0.0;"6655";"3089";"4628";"";"";"";"2";0.06;0.0;"6655";"4628";"3089";"3011";"";"";"2";0.06;0.0;"6655";"3089";"4645";"";"";"";"2";0.06;0.5
"mast";"Neeko";"";"";528;24;0;46;0.5217;0.0;0.0871;3.63;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";25;0.54;0.56;"4";"32";"18";"0.39";"0.56";"1";"3";"2";31;0.67;0.55;"3802";"1001";"";"";"";"";"";"";20;0.43;0.7;"3145";"1001";"2003";"";"";"";"";"";6;0.13;0.17;"3020";40;0.87;0.5;"3158";5;0.11;0.8;"6655";"4645";"3157";"";"";"";"5";0.11;0.6;"3152";"4645";"";"";"";"";"4";0.09;0.5;"3152";"4645";"3135";"";"";"";"3";0.07;0.67
"mast";"Malphite";"";"";528;31;0;60;0.5167;0.0;0.1136;3.14;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8200";"5002";"5008";"5008";"32";"4";34;0.57;0.65;"4";"32";"18";"0.3";"0.39";"1";"3";"2";39;0.65;0.56;"3145";"1001";"2003";"";"";"";"";"";13;0.22;0.46;"3145";"1001";"";"";"";"";"";"";8;0.13;0.75;"3020";35;0.58;0.46;"3111";15;0.25;0.53;"4636";"4645";"3089";"";"";"";"5";0.08;0.4;"6655";"4645";"";"";"";"";"4";0.07;0.25;"4636";"4629";"3157";"";"";"";"3";0.05;0.67
"mast";"Sivir";"";"";528;22;0;52;0.4231;0.0;0.0985;4.34;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"6";"4";26;0.5;0.46;"4";"6";"10";"0.19";"0.7";"1";"2";"3";35;0.67;0.49;"6670";"2003";"2003";"";"";"";"";"";23;0.44;0.43;"6670";"";"";"";"";"";"";"";10;0.19;0.4;"3006";39;0.75;0.44;"3158";7;0.13;0.29;"3087";"6675";"";"";"";"";"5";0.1;0.2;"3087";"6675";"3072";"";"";"";"4";0.08;0.75;"3087";"6675";"3072";"3036";"";"";"3";0.06;0.67
"mast";"Ryze";"";"";528;21;0;35;0.6;0.0;0.0663;4.09;"8230";"8226";"8210";"8236";"8200";"8230";"8226";"8100";"5002";"5008";"5008";"6";"4";23;0.66;0.57;"4";"6";"6";"0.17";"0.83";"1";"3";"2";24;0.69;0.62;"1026";"3070";"2031";"";"";"";"";"";10;0.29;0.5;"3803";"2003";"2003";"";"";"";"";"";5;0.14;0.8;"3020";24;0.69;0.54;"3111";5;0.14;0.6;"6657";"3003";"4629";"";"";"";"5";0.14;0.6;"6657";"3003";"3089";"";"";"";"3";0.09;1.0;"6657";"";"";"";"";"";"3";0.09;0.33
"mast";"Pyke";"";"";528;24;0;54;0.4444;0.0;0.1023;3.67;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";29;0.54;0.41;"4";"32";"23";"0.43";"0.48";"1";"3";"2";37;0.69;0.59;"3134";"1001";"";"";"";"";"";"";40;0.74;0.45;"3134";"2031";"";"";"";"";"";"";2;0.04;0.5;"3158";33;0.61;0.52;"3111";13;0.24;0.31;"6691";"6696";"6676";"";"";"";"5";0.09;0.6;"6691";"6696";"3814";"";"";"";"2";0.04;0.5;"6691";"6696";"6693";"";"";"";"2";0.04;0.5
"mast";"Amumu";"";"";528;18;0;27;0.6667;0.0;0.0511;3.04;"8439";"8463";"8429";"8451";"8400";"8439";"8463";"8100";"5003";"5002";"5007";"32";"4";21;0.78;0.67;"4";"32";"6";"0.22";"0.67";"1";"3";"2";13;0.48;0.69;"3105";"2031";"";"";"";"";"";"";6;0.22;1.0;"3145";"1001";"2003";"";"";"";"";"";4;0.15;0.5;"3111";12;0.44;0.75;"3158";5;0.19;0.8;"6665";"3119";"";"";"";"";"3";0.11;1.0;"6665";"3068";"";"";"";"";"3";0.11;0.67;"6665";"3075";"8020";"3083";"";"";"1";0.04;1.0
"mast";"Ahri";"";"";528;29;0;51;0.5686;0.0;0.0966;4.11;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";21;0.41;0.67;"4";"32";"8";"0.16";"0.75";"1";"2";"3";29;0.57;0.62;"3802";"1001";"";"";"";"";"";"";37;0.73;0.65;"3802";"2031";"";"";"";"";"";"";3;0.06;0.33;"3020";39;0.76;0.64;"3158";9;0.18;0.33;"6655";"4645";"";"";"";"";"4";0.08;0.75;"6655";"4645";"3089";"";"";"";"3";0.06;0.67;"6655";"4628";"";"";"";"";"3";0.06;0.33
"mast";"Velkoz";"";"";528;17;0;30;0.5667;0.0;0.0568;3.9;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"7";"4";8;0.27;0.75;"3";"4";"6";"0.2";"0.5";"1";"2";"3";20;0.67;0.75;"3802";"1001";"";"";"";"";"";"";23;0.77;0.52;"3070";"1052";"1027";"2031";"";"";"";"";1;0.03;1.0;"3020";28;0.93;0.54;"3158";1;0.03;1.0;"6653";"4637";"3089";"";"";"";"2";0.07;0.5;"6655";"4645";"4628";"";"";"";"2";0.07;0.0;"6655";"4645";"";"";"";"";"2";0.07;0.5
