"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"pla";"Soraka";"";"";579;23;0;36;0.6389;0.0;0.0622;6.38;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8400";"5002";"5008";"5008";"13";"4";15;0.42;0.67;"4";"13";"8";"0.22";"0.62";"2";"1";"3";19;0.53;0.63;"4642";"3070";"2003";"";"";"";"";"";9;0.25;0.78;"4642";"1028";"2003";"";"";"";"";"";6;0.17;0.83;"3158";24;0.67;0.67;"3009";2;0.06;0.5;"6617";"3083";"3003";"";"";"";"5";0.14;0.8;"6617";"3083";"";"";"";"";"2";0.06;0.5;"6617";"3083";"3119";"";"";"";"2";0.06;0.5
"pla";"Corki";"";"";579;19;0;37;0.5135;0.0;0.0639;3.25;"8128";"8139";"8138";"8135";"8100";"8128";"8139";"8000";"5002";"5008";"5005";"32";"4";13;0.35;0.54;"4";"32";"6";"0.16";"0.5";"1";"3";"2";23;0.62;0.65;"1026";"3070";"2031";"";"";"";"";"";11;0.3;0.45;"3070";"1026";"";"";"";"";"";"";3;0.08;0.67;"3020";32;0.86;0.5;"3006";2;0.05;0.5;"6655";"3004";"";"";"";"";"4";0.11;0.25;"6655";"3004";"4645";"";"";"";"4";0.11;0.75;"6655";"3004";"4645";"3074";"";"";"2";0.05;0.5
"pla";"Kaisa";"";"";579;29;0;66;0.4394;0.0;0.114;4.51;"8128";"8139";"8138";"8135";"8100";"8128";"8139";"8000";"5002";"5008";"5008";"7";"4";17;0.26;0.53;"6";"4";"13";"0.2";"0.46";"2";"1";"3";33;0.5;0.48;"6670";"2003";"2003";"";"";"";"";"";12;0.18;0.17;"1026";"3070";"2031";"";"";"";"";"";12;0.18;0.42;"3006";35;0.53;0.43;"3020";25;0.38;0.52;"6655";"3004";"";"";"";"";"4";0.06;0.25;"6655";"3004";"3115";"";"";"";"4";0.06;0.25;"6655";"3004";"4628";"3089";"";"";"2";0.03;1.0
"pla";"Thresh";"";"";579;28;0;50;0.56;0.0;0.0864;4.42;"8439";"8463";"8473";"8451";"8400";"8439";"8463";"8000";"5001";"5002";"5007";"32";"4";35;0.7;0.54;"4";"32";"7";"0.14";"0.71";"1";"3";"2";30;0.6;0.53;"2051";"3070";"2003";"";"";"";"";"";12;0.24;0.42;"3105";"2031";"";"";"";"";"";"";11;0.22;0.64;"3111";27;0.54;0.63;"3047";9;0.18;0.56;"6665";"3119";"3083";"";"";"";"4";0.08;0.75;"3084";"3119";"3083";"";"";"";"3";0.06;0.0;"6665";"4401";"3075";"";"";"";"2";0.04;1.0
"pla";"Lulu";"";"";579;18;0;40;0.45;0.0;0.0691;7.02;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8000";"5002";"5008";"5008";"3";"4";26;0.65;0.5;"4";"3";"4";"0.1";"0.75";"3";"2";"1";14;0.35;0.43;"4642";"3070";"2003";"";"";"";"";"";24;0.6;0.46;"6670";"2003";"2003";"";"";"";"";"";3;0.07;0.33;"3158";29;0.72;0.41;"3006";5;0.12;0.4;"2065";"3003";"";"";"";"";"5";0.12;0.6;"6672";"3124";"3153";"";"";"";"2";0.05;0.5;"2065";"3003";"3011";"";"";"";"2";0.05;0.0
"pla";"Lissandra";"";"";579;12;0;23;0.5217;0.0;0.0397;3.41;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";18;0.78;0.44;"4";"32";"5";"0.22";"0.8";"1";"2";"3";14;0.61;0.5;"3802";"1001";"";"";"";"";"";"";14;0.61;0.43;"3802";"";"";"";"";"";"";"";4;0.17;0.5;"3020";18;0.78;0.56;"3158";3;0.13;0.67;"6653";"3157";"3165";"";"";"";"2";0.09;0.5;"6653";"4645";"3089";"3157";"";"";"2";0.09;0.0;"6656";"3157";"4645";"";"";"";"2";0.09;0.5
"pla";"Malzahar";"";"";579;11;0;22;0.5;0.0;0.038;3.73;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";9;0.41;0.67;"4";"3";"4";"0.18";"0.5";"3";"1";"2";14;0.64;0.71;"3802";"1001";"";"";"";"";"";"";15;0.68;0.6;"3802";"2031";"";"";"";"";"";"";2;0.09;0.0;"3020";17;0.77;0.47;"";1;0.05;0.0;"6653";"3165";"4637";"";"";"";"1";0.05;0.0;"6653";"3116";"4637";"3089";"";"";"1";0.05;0.0;"6653";"4637";"3116";"3157";"3157";"";"1";0.05;1.0
"pla";"Gangplank";"";"";579;14;0;38;0.3684;0.0;0.0656;3.61;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";21;0.55;0.33;"4";"32";"5";"0.13";"0.8";"1";"3";"2";26;0.68;0.46;"3057";"1036";"1036";"";"";"";"";"";22;0.58;0.32;"3057";"1018";"2003";"2003";"";"";"";"";2;0.05;1.0;"3158";26;0.68;0.35;"3009";1;0.03;0.0;"3508";"6675";"6676";"";"";"";"5";0.13;0.6;"3508";"";"";"";"";"";"2";0.05;0.5;"3508";"6675";"";"";"";"";"2";0.05;0.0
"pla";"Jinx";"";"";579;28;0;65;0.4308;0.0;0.1123;3.51;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"6";"4";22;0.34;0.5;"4";"6";"11";"0.17";"0.36";"1";"2";"3";37;0.57;0.49;"6670";"2003";"2003";"";"";"";"";"";23;0.35;0.52;"6670";"";"";"";"";"";"";"";11;0.17;0.36;"3006";51;0.78;0.43;"3158";5;0.08;0.2;"6672";"3031";"";"";"";"";"5";0.08;0.4;"6672";"3031";"3094";"";"";"";"4";0.06;1.0;"6672";"6671";"";"";"";"";"2";0.03;0.5
"pla";"Yasuo";"";"";579;19;0;44;0.4318;0.0;0.076;2.32;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"32";"4";29;0.66;0.38;"4";"32";"8";"0.18";"0.5";"1";"3";"2";23;0.52;0.52;"3006";"1042";"";"";"";"";"";"";25;0.57;0.48;"6670";"2003";"2003";"";"";"";"";"";4;0.09;0.5;"3006";36;0.82;0.47;"3111";5;0.11;0.2;"6672";"6665";"3153";"";"";"";"3";0.07;0.67;"3087";"3031";"6673";"";"";"";"2";0.05;0.5;"6672";"3031";"";"";"";"";"2";0.05;0.5
"pla";"Nidalee";"";"";579;37;0;64;0.5781;0.0;0.1105;5.5;"8128";"8143";"8138";"8135";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";42;0.66;0.62;"4";"32";"9";"0.14";"0.44";"1";"3";"2";41;0.64;0.51;"3802";"1001";"";"";"";"";"";"";38;0.59;0.61;"3145";"1001";"2003";"";"";"";"";"";4;0.06;0.5;"3020";54;0.84;0.61;"3158";4;0.06;0.5;"6655";"4645";"";"";"";"";"7";0.11;0.71;"6655";"";"";"";"";"";"4";0.06;1.0;"6655";"4645";"3089";"";"";"";"3";0.05;0.67
"pla";"Nami";"";"";579;10;0;25;0.4;0.0;0.0432;6.2;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8000";"5002";"5008";"5008";"3";"4";8;0.32;0.62;"4";"3";"5";"0.2";"0";"2";"3";"1";12;0.48;0.42;"4642";"3070";"2003";"";"";"";"";"";9;0.36;0.33;"3802";"1001";"";"";"";"";"";"";3;0.12;0.0;"3158";19;0.76;0.37;"3020";4;0.16;0.75;"6620";"3003";"";"";"";"";"2";0.08;0.5;"6617";"6616";"3107";"3011";"";"";"1";0.04;1.0;"3011";"6653";"3003";"4005";"";"";"1";0.04;1.0
"pla";"Xerath";"";"";579;29;0;51;0.5686;0.0;0.0881;6.16;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"13";"4";18;0.35;0.61;"6";"4";"8";"0.16";"0.38";"1";"2";"3";32;0.63;0.66;"3802";"1001";"";"";"";"";"";"";37;0.73;0.59;"3802";"";"";"";"";"";"";"";3;0.06;0.33;"3020";45;0.88;0.53;"3158";1;0.02;1.0;"6655";"4645";"";"";"";"";"7";0.14;0.29;"6655";"4628";"";"";"";"";"3";0.06;0.33;"6655";"4645";"3089";"4628";"";"";"3";0.06;1.0
"pla";"Rakan";"";"";579;11;0;16;0.6875;0.0;0.0276;5.99;"8465";"8463";"8473";"8242";"8400";"8465";"8463";"8100";"5002";"5008";"5008";"32";"4";11;0.69;0.73;"4";"32";"5";"0.31";"0.6";"2";"3";"1";7;0.44;0.71;"2051";"3070";"2003";"";"";"";"";"";5;0.31;0.8;"3067";"1052";"";"";"";"";"";"";1;0.06;1.0;"3111";11;0.69;0.64;"3047";2;0.12;1.0;"6667";"3119";"";"";"";"";"2";0.12;0.5;"2065";"3075";"3119";"";"";"";"1";0.06;1.0;"2065";"3068";"";"";"";"";"1";0.06;1.0
"pla";"Diana";"";"";579;14;0;28;0.5;0.0;0.0484;2.99;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";21;0.75;0.43;"4";"32";"7";"0.25";"0.71";"1";"2";"3";18;0.64;0.56;"3145";"1001";"2003";"";"";"";"";"";15;0.54;0.47;"3145";"1001";"";"";"";"";"";"";5;0.18;0.4;"3020";19;0.68;0.58;"3111";5;0.18;0.2;"3152";"4645";"";"";"";"";"2";0.07;0.0;"4636";"4645";"3157";"";"";"";"2";0.07;1.0;"4636";"3115";"";"";"";"";"1";0.04;1.0
"pla";"Quinn";"";"";579;13;0;28;0.4643;0.0;0.0484;2.99;"8008";"9111";"9104";"8014";"8000";"8008";"9111";"8100";"5002";"5008";"5005";"6";"4";10;0.36;0.4;"7";"4";"6";"0.21";"0.5";"1";"3";"2";17;0.61;0.47;"6670";"2003";"2003";"";"";"";"";"";8;0.29;0.38;"6670";"";"";"";"";"";"";"";4;0.14;0.5;"3006";23;0.82;0.48;"3111";4;0.14;0.5;"3087";"6671";"6676";"";"";"";"2";0.07;0.5;"3087";"6671";"3072";"";"";"";"2";0.07;0.0;"6691";"6672";"3031";"6673";"";"";"1";0.04;0.0
"pla";"Renata";"";"";579;4;0;17;0.2353;0.0;0.0294;4.04;"8214";"8226";"8210";"8236";"8200";"8214";"8226";"8100";"5002";"5008";"5007";"3";"4";8;0.47;0.38;"4";"3";"5";"0.29";"0.2";"3";"2";"1";8;0.47;0.38;"4642";"3070";"2003";"";"";"";"";"";11;0.65;0.27;"4642";"3070";"";"";"";"";"";"";2;0.12;0.5;"3158";12;0.71;0.08;"3111";4;0.24;0.75;"2065";"3011";"";"";"";"";"2";0.12;0.0;"2065";"3119";"4005";"";"";"";"1";0.06;0.0;"2065";"6616";"";"";"";"";"1";0.06;0.0
"pla";"KogMaw";"";"";579;17;0;38;0.4474;0.0;0.0656;4.15;"8008";"8009";"9104";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"6";"4";19;0.5;0.32;"4";"6";"10";"0.26";"0.5";"2";"1";"3";13;0.34;0.46;"3006";"1042";"";"";"";"";"";"";12;0.32;0.33;"3802";"1001";"";"";"";"";"";"";7;0.18;0.71;"3006";23;0.61;0.35;"3020";12;0.32;0.67;"6653";"3003";"";"";"";"";"2";0.05;1.0;"3748";"3124";"3091";"";"";"";"1";0.03;0.0;"6653";"";"";"";"";"";"1";0.03;1.0
"pla";"Pyke";"";"";579;36;0;60;0.6;0.0;0.1036;4.0;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";44;0.73;0.64;"4";"32";"11";"0.18";"0.45";"1";"3";"2";33;0.55;0.64;"3134";"1001";"";"";"";"";"";"";44;0.73;0.66;"3134";"2031";"";"";"";"";"";"";3;0.05;1.0;"3158";39;0.65;0.62;"3111";14;0.23;0.57;"6691";"6696";"";"";"";"";"7";0.12;0.57;"6691";"6696";"6676";"";"";"";"3";0.05;0.67;"6691";"6696";"6693";"";"";"";"3";0.05;0.67
"pla";"Ekko";"";"";579;26;0;54;0.4815;0.0;0.0933;3.12;"8128";"8143";"8138";"8106";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";36;0.67;0.47;"4";"32";"12";"0.22";"0.42";"1";"3";"2";36;0.67;0.5;"3145";"1001";"2003";"";"";"";"";"";32;0.59;0.47;"3145";"1001";"";"";"";"";"";"";7;0.13;0.57;"3020";38;0.7;0.39;"3111";14;0.26;0.71;"3152";"3100";"3157";"";"";"";"4";0.07;0.75;"3152";"4645";"3100";"";"";"";"3";0.06;0.33;"4636";"3100";"";"";"";"";"3";0.06;0.33
"pla";"Annie";"";"";579;14;0;31;0.4516;0.0;0.0535;3.56;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"32";"4";21;0.68;0.48;"4";"32";"6";"0.19";"0.5";"1";"2";"3";15;0.48;0.6;"3802";"1001";"";"";"";"";"";"";24;0.77;0.46;"3067";"1011";"1028";"";"";"";"";"";1;0.03;1.0;"3020";25;0.81;0.44;"3158";4;0.13;0.25;"6655";"4645";"";"";"";"";"5";0.16;0.4;"6655";"4645";"3089";"";"";"";"2";0.06;1.0;"6653";"4645";"3089";"";"";"";"2";0.06;0.5
"pla";"Galio";"";"";579;8;0;16;0.5;0.0;0.0276;3.79;"8439";"8463";"8429";"8451";"8400";"8439";"8463";"8000";"5002";"5002";"5007";"32";"4";9;0.56;0.56;"4";"32";"5";"0.31";"0.4";"1";"2";"3";8;0.5;0.38;"3105";"2031";"";"";"";"";"";"";3;0.19;0.67;"2051";"1001";"1028";"";"";"";"";"";1;0.06;1.0;"3111";11;0.69;0.55;"3047";3;0.19;0.67;"6665";"3083";"";"";"";"";"2";0.12;1.0;"6665";"3068";"4401";"";"";"";"1";0.06;1.0;"6665";"4401";"3083";"3075";"";"";"1";0.06;0.0
