"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"pla";"KSante";"897";"TOP";3021;60;66;145;0.4138;0.0218;0.048;2.54;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8300";"5002";"5002";"5005";"12";"4";100;0.69;0.42;"4";"12";"33";"0.23";"0.39";"1";"2";"3";122;0.84;0.45;"1054";"2003";"";"";"";"";"";"";68;0.47;0.44;"1054";"2003";"3340";"";"";"";"";"";60;0.41;0.43;"3047";94;0.65;0.43;"3111";44;0.3;0.41;"6662";"";"";"";"";"";"28";0.19;0.39;"6662";"3068";"";"";"";"";"18";0.12;0.28;"6662";"3068";"3193";"";"";"";"13";0.09;0.54
"pla";"Leblanc";"7";"TOP";3021;4;798;12;0.3333;0.2642;0.004;1.92;"8021";"8009";"9104";"8014";"8000";"8021";"8009";"8200";"5003";"5008";"5005";"12";"4";10;0.83;0.4;"14";"4";"1";"0.08";"0";"2";"1";"3";6;0.5;0.67;"1036";"2031";"";"";"";"";"";"";4;0.33;0.5;"1056";"2003";"2003";"3340";"";"";"";"";2;0.17;1.0;"3020";4;0.33;0.5;"3158";4;0.33;0.25;"3087";"3078";"3181";"";"";"";"2";0.17;0.5;"3087";"";"";"";"";"";"2";0.17;0.0;"3087";"6655";"4645";"3157";"";"";"1";0.08;1.0
"pla";"Shyvana";"102";"TOP";3021;15;44;30;0.5;0.0146;0.0099;1.71;"8008";"9111";"9104";"8299";"8000";"8008";"9111";"8400";"5002";"5008";"5005";"12";"6";17;0.57;0.53;"6";"12";"8";"0.27";"0.38";"3";"1";"2";12;0.4;0.42;"1054";"2003";"";"";"";"";"";"";18;0.6;0.33;"1054";"2003";"3340";"";"";"";"";"";7;0.23;0.86;"3158";17;0.57;0.53;"3047";8;0.27;0.5;"3074";"3078";"3181";"";"";"";"12";0.4;0.67;"3074";"3078";"";"";"";"";"5";0.17;0.4;"3074";"3181";"3078";"";"";"";"2";0.07;0.5
"pla";"Ashe";"22";"TOP";3021;3;266;5;0.6;0.0881;0.0017;6.58;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8300";"5002";"5008";"5005";"6";"4";3;0.6;0.33;"7";"4";"1";"0.2";"1";"2";"1";"3";4;0.8;0.75;"1055";"2003";"3340";"";"";"";"";"";2;0.4;1.0;"3862";"2003";"2003";"3340";"";"";"";"";1;0.2;1.0;"3006";2;0.4;0.5;"3009";1;0.2;1.0;"6672";"3078";"3085";"";"";"";"1";0.2;1.0;"3004";"6691";"6676";"";"";"";"1";0.2;1.0;"3153";"3078";"";"";"";"";"1";0.2;0.0
"pla";"Nunu";"20";"TOP";3021;0;20;1;0.0;0.0066;0.0003;0.0;"8230";"8275";"8234";"8232";"8200";"8230";"8275";"8000";"5002";"5008";"5005";"4";"11";1;1.0;0.0;"";"";"1";"1";"0";"";"";"";0;0.0;0.0;"1103";"2003";"3340";"1102";"2003";"3340";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"";0;0.0;0.0;"";0;0.0;0.0;"";"";"";"";"";"";"";0.0;0.0;"";"";"";"";"";"";"";0.0;0.0;"";"";"";"";"";"";"";0.0;0.0
"pla";"Aatrox";"266";"TOP";3021;194;552;370;0.5243;0.1827;0.1225;2.93;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";262;0.71;0.53;"4";"12";"98";"0.26";"0.48";"1";"3";"2";336;0.91;0.56;"1054";"2003";"";"";"";"";"";"";156;0.42;0.5;"1054";"2003";"3340";"";"";"";"";"";116;0.31;0.53;"3047";231;0.62;0.52;"3111";91;0.25;0.6;"6630";"";"";"";"";"";"46";0.12;0.54;"6630";"3071";"";"";"";"";"28";0.08;0.54;"6630";"3161";"";"";"";"";"26";0.07;0.5
"pla";"Darius";"122";"TOP";3021;108;561;205;0.5268;0.1857;0.0679;2.34;"8010";"9111";"9104";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5005";"6";"4";163;0.8;0.52;"4";"6";"39";"0.19";"0.59";"1";"3";"2";179;0.87;0.54;"1054";"2003";"";"";"";"";"";"";67;0.33;0.52;"1054";"2003";"3340";"";"";"";"";"";55;0.27;0.49;"3047";129;0.63;0.56;"3111";64;0.31;0.48;"6631";"";"";"";"";"";"26";0.13;0.46;"6631";"3742";"";"";"";"";"16";0.08;0.69;"3078";"";"";"";"";"";"7";0.03;0.43
"pla";"Nidalee";"76";"TOP";3021;5;249;9;0.5556;0.0824;0.003;2.97;"8021";"8009";"9104";"8299";"8000";"8021";"8009";"8400";"5002";"5008";"5005";"14";"4";3;0.33;0.67;"12";"4";"3";"0.33";"1";"3";"1";"2";3;0.33;0.67;"1055";"2003";"3340";"";"";"";"";"";4;0.44;0.5;"1055";"2003";"";"";"";"";"";"";2;0.22;0.0;"3047";3;0.33;0.33;"3020";1;0.11;1.0;"6655";"3100";"4645";"";"";"";"1";0.11;1.0;"6662";"8020";"3087";"";"";"";"1";0.11;1.0;"6632";"3087";"3110";"6333";"6609";"6609";"1";0.11;1.0
"pla";"Belveth";"200";"TOP";3021;3;16;5;0.6;0.0053;0.0017;1.09;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";3;0.6;0.67;"4";"12";"1";"0.2";"1";"2";"1";"3";2;0.4;1.0;"1055";"2003";"";"";"";"";"";"";1;0.2;1.0;"1054";"3340";"2003";"";"";"";"";"";1;0.2;1.0;"3111";3;0.6;0.67;"3047";1;0.2;1.0;"3153";"6662";"";"";"";"";"1";0.2;1.0;"3074";"6631";"";"";"";"";"1";0.2;1.0;"3074";"6662";"";"";"";"";"1";0.2;1.0
"pla";"Morgana";"25";"TOP";3021;1;322;2;0.5;0.1066;0.0007;2.0;"8229";"8226";"8233";"8237";"8200";"8229";"8226";"8300";"5001";"5008";"5008";"12";"4";2;1.0;0.5;"";"";"1";"0.5";"0";"2";"1";"3";1;0.5;1.0;"1056";"2003";"2003";"3340";"";"";"";"";1;0.5;1.0;"1056";"2003";"2003";"";"";"";"";"";1;0.5;0.0;"3020";2;1.0;0.5;"";1;0.5;0.0;"6653";"3157";"3165";"3116";"";"";"1";0.5;1.0;"6653";"3157";"";"";"";"";"1";0.5;0.0;"";"";"";"";"";"";"1";0.5;0.0
