"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"sil";"TahmKench";"";"";668;16;0;33;0.4848;0.0;0.0494;3.45;"8437";"8401";"8444";"8451";"8400";"8437";"8401";"8000";"5002";"5003";"5005";"32";"4";27;0.82;0.48;"4";"32";"3";"0.09";"0.67";"1";"2";"3";15;0.45;0.53;"1011";"1028";"2003";"2003";"";"";"";"";13;0.39;0.54;"1011";"1028";"";"";"";"";"";"";2;0.06;0.5;"3111";20;0.61;0.45;"3047";9;0.27;0.56;"3084";"3068";"3083";"";"";"";"3";0.09;1.0;"3084";"3068";"";"";"";"";"2";0.06;0.0;"3084";"3083";"3193";"3068";"";"";"1";0.03;1.0
"sil";"Seraphine";"";"";668;21;0;48;0.4375;0.0;0.0719;5.03;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"3";"4";19;0.4;0.42;"4";"3";"11";"0.23";"0.27";"1";"3";"2";14;0.29;0.57;"3802";"1001";"";"";"";"";"";"";26;0.54;0.42;"4642";"3070";"2003";"";"";"";"";"";4;0.08;0.25;"3158";28;0.58;0.43;"3020";18;0.38;0.44;"6653";"3116";"";"";"";"";"4";0.08;0.25;"6653";"";"";"";"";"";"3";0.06;0.0;"6653";"3003";"3116";"";"";"";"2";0.04;1.0
"sil";"Draven";"";"";668;23;0;45;0.5111;0.0;0.0674;3.66;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"1";"4";14;0.31;0.79;"6";"4";"11";"0.24";"0.36";"1";"2";"3";28;0.62;0.5;"3057";"1036";"1001";"2003";"";"";"";"";12;0.27;0.42;"3057";"1036";"1036";"";"";"";"";"";8;0.18;0.5;"3006";35;0.78;0.46;"3111";3;0.07;0.67;"3508";"3031";"";"";"";"";"3";0.07;0.33;"3508";"3031";"3072";"";"";"";"3";0.07;0.67;"3508";"3031";"3072";"3072";"3094";"3036";"1";0.02;1.0
"sil";"Senna";"";"";668;35;0;73;0.4795;0.0;0.1093;5.03;"8008";"8009";"9104";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"6";"4";37;0.51;0.51;"4";"6";"12";"0.16";"0.33";"1";"2";"3";48;0.66;0.5;"3070";"1036";"1036";"1001";"";"";"";"";24;0.33;0.58;"6670";"2003";"2003";"";"";"";"";"";9;0.12;0.56;"3006";33;0.45;0.45;"3009";26;0.36;0.54;"6692";"3004";"3094";"";"";"";"5";0.07;0.8;"6672";"3124";"3094";"";"";"";"3";0.04;0.0;"6692";"3004";"";"";"";"";"2";0.03;0.0
"sil";"Nidalee";"";"";668;46;0;83;0.5542;0.0;0.1243;5.56;"8128";"8143";"8138";"8135";"8100";"8128";"8143";"8000";"5002";"5008";"5008";"32";"4";47;0.57;0.53;"13";"4";"8";"0.1";"0.88";"1";"3";"2";53;0.64;0.58;"3802";"1001";"";"";"";"";"";"";43;0.52;0.56;"3145";"1001";"2003";"";"";"";"";"";5;0.06;0.4;"3020";74;0.89;0.55;"3158";4;0.05;0.75;"6655";"4645";"";"";"";"";"5";0.06;0.4;"6655";"4645";"4628";"";"";"";"4";0.05;0.25;"6655";"3089";"4645";"";"";"";"4";0.05;0.75
"sil";"Lucian";"";"";668;28;0;62;0.4516;0.0;0.0928;3.3;"8005";"8009";"9104";"8014";"8000";"8005";"8009";"8100";"5002";"5008";"5005";"1";"4";23;0.37;0.57;"7";"4";"13";"0.21";"0.54";"1";"3";"2";32;0.52;0.44;"6670";"2003";"2003";"";"";"";"";"";25;0.4;0.4;"1038";"2003";"2003";"";"";"";"";"";6;0.1;0.17;"3006";29;0.47;0.45;"3111";13;0.21;0.69;"6672";"6675";"3072";"3036";"";"";"4";0.06;0.25;"6672";"6675";"3036";"";"";"";"4";0.06;0.25;"6672";"";"";"";"";"";"2";0.03;1.0
"sil";"Caitlyn";"";"";668;43;0;87;0.4943;0.0;0.1302;4.12;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8100";"5002";"5008";"5005";"6";"4";29;0.33;0.59;"7";"4";"19";"0.22";"0.37";"1";"2";"3";48;0.55;0.48;"6670";"2003";"2003";"";"";"";"";"";26;0.3;0.5;"3134";"1001";"";"";"";"";"";"";22;0.25;0.45;"3006";59;0.68;0.47;"3158";18;0.21;0.5;"6691";"6676";"6696";"";"";"";"7";0.08;0.71;"3095";"3031";"";"";"";"";"3";0.03;0.67;"3095";"3031";"3094";"3087";"3036";"";"2";0.02;1.0
"sil";"Garen";"";"";668;22;0;41;0.5366;0.0;0.0614;3.19;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"32";"4";32;0.78;0.56;"4";"32";"6";"0.15";"0.5";"3";"1";"2";17;0.41;0.59;"6029";"1001";"";"";"";"";"";"";11;0.27;0.45;"1011";"1028";"2003";"2003";"";"";"";"";4;0.1;0.5;"3111";19;0.46;0.53;"3047";14;0.34;0.64;"6631";"3742";"";"";"";"";"4";0.1;0.5;"6631";"3742";"4401";"3071";"";"";"2";0.05;0.0;"6631";"3742";"3075";"";"";"";"2";0.05;0.5
"sil";"Orianna";"";"";668;16;0;34;0.4706;0.0;0.0509;4.64;"8128";"8126";"8138";"8106";"8100";"8128";"8126";"8000";"5002";"5008";"5008";"6";"4";19;0.56;0.42;"32";"4";"5";"0.15";"0.8";"1";"2";"3";23;0.68;0.48;"3802";"1001";"";"";"";"";"";"";22;0.65;0.45;"3802";"2031";"";"";"";"";"";"";1;0.03;1.0;"3020";27;0.79;0.41;"3158";5;0.15;0.6;"6655";"4645";"";"";"";"";"3";0.09;0.33;"6655";"3003";"";"";"";"";"2";0.06;1.0;"6655";"4645";"3135";"3089";"";"";"2";0.06;0.5
"sil";"Soraka";"";"";668;19;0;41;0.4634;0.0;0.0614;5.14;"8214";"8226";"8210";"8237";"8200";"8214";"8226";"8400";"5002";"5008";"5008";"13";"4";14;0.34;0.43;"3";"4";"7";"0.17";"0.71";"2";"1";"3";12;0.29;0.58;"4642";"3070";"2003";"";"";"";"";"";19;0.46;0.42;"4642";"1028";"2003";"";"";"";"";"";3;0.07;0.67;"3158";28;0.68;0.54;"3111";4;0.1;0.25;"6617";"3083";"";"";"";"";"11";0.27;0.45;"6617";"3083";"3003";"";"";"";"5";0.12;0.8;"6617";"3083";"3003";"3504";"";"";"3";0.07;0.33
