"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"sil";"KSante";"897";"TOP";2889;43;64;108;0.3981;0.0222;0.0374;1.87;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8300";"5002";"5002";"5005";"12";"4";78;0.72;0.4;"4";"12";"20";"0.19";"0.45";"1";"2";"3";50;0.46;0.54;"1054";"2003";"";"";"";"";"";"";66;0.61;0.41;"1054";"2003";"3340";"";"";"";"";"";38;0.35;0.37;"3047";62;0.57;0.35;"3111";35;0.32;0.54;"6662";"";"";"";"";"";"18";0.17;0.11;"6662";"3068";"";"";"";"";"14";0.13;0.36;"6662";"3068";"3193";"";"";"";"12";0.11;0.33
"sil";"MissFortune";"21";"TOP";2889;0;91;1;0.0;0.0315;0.0003;1.57;"8005";"8009";"9103";"8014";"8000";"8005";"8009";"8300";"5002";"5008";"5005";"12";"4";1;1.0;0.0;"";"";"1";"1";"0";"1";"2";"3";1;1.0;0.0;"1055";"2003";"";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3006";1;1.0;0.0;"";1;1.0;0.0;"3142";"6676";"6694";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"sil";"Leblanc";"7";"TOP";2889;3;656;3;1.0;0.2271;0.001;2.35;"8021";"8009";"9104";"8014";"8000";"8021";"8009";"8200";"5003";"5008";"5005";"12";"4";1;0.33;1.0;"4";"12";"1";"0.33";"1";"1";"2";"3";2;0.67;1.0;"1083";"2003";"3340";"";"";"";"";"";2;0.67;1.0;"1056";"2003";"3340";"2003";"";"";"";"";1;0.33;1.0;"3020";2;0.67;1.0;"";1;0.33;0.0;"3087";"4636";"3165";"3100";"";"";"1";0.33;1.0;"3087";"6632";"";"";"";"";"1";0.33;1.0;"6655";"3089";"";"";"";"";"1";0.33;1.0
"sil";"Shyvana";"102";"TOP";2889;10;50;20;0.5;0.0173;0.0069;1.53;"8008";"9111";"9104";"8299";"8000";"8008";"9111";"8400";"5002";"5008";"5005";"12";"6";12;0.6;0.5;"6";"12";"3";"0.15";"0.67";"3";"1";"2";7;0.35;0.86;"1054";"2003";"3340";"";"";"";"";"";10;0.5;0.6;"1054";"2003";"";"";"";"";"";"";6;0.3;0.5;"3158";12;0.6;0.5;"3047";4;0.2;0.5;"3074";"";"";"";"";"";"5";0.25;0.2;"3074";"3078";"3181";"";"";"";"4";0.2;0.75;"3074";"3078";"";"";"";"";"2";0.1;0.5
"sil";"Ashe";"22";"TOP";2889;5;266;9;0.5556;0.0921;0.0031;2.02;"8008";"8009";"9103";"8014";"8000";"8008";"8009";"8300";"5002";"5008";"5005";"6";"4";4;0.44;0.75;"4";"6";"4";"0.44";"0.25";"2";"1";"3";4;0.44;0.75;"1055";"2003";"3340";"";"";"";"";"";2;0.22;0.0;"1055";"3340";"2003";"";"";"";"";"";1;0.11;1.0;"3006";7;0.78;0.57;"3111";1;0.11;1.0;"6672";"3078";"";"";"";"";"2";0.22;0.0;"6672";"3153";"3124";"3085";"";"";"1";0.11;1.0;"3153";"3033";"3031";"";"";"";"1";0.11;1.0
"sil";"Nunu";"20";"TOP";2889;1;19;1;1.0;0.0066;0.0003;4.2;"8230";"8275";"8234";"8232";"8200";"8230";"8275";"8000";"5002";"5008";"5005";"12";"6";1;1.0;1.0;"";"";"1";"1";"0";"1";"3";"2";1;1.0;1.0;"1082";"2003";"2003";"2003";"1056";"2003";"2003";"";1;1.0;1.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3020";1;1.0;1.0;"";1;1.0;0.0;"4636";"3041";"4645";"";"";"";"1";1.0;1.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"sil";"Aatrox";"266";"TOP";2889;152;537;305;0.4984;0.1859;0.1056;2.55;"8010";"9111";"9105";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";239;0.78;0.49;"4";"12";"55";"0.18";"0.53";"1";"3";"2";280;0.92;0.51;"1054";"2003";"";"";"";"";"";"";127;0.42;0.49;"1054";"2003";"3340";"";"";"";"";"";100;0.33;0.58;"3047";201;0.66;0.45;"3111";67;0.22;0.64;"6630";"";"";"";"";"";"34";0.11;0.35;"6630";"3071";"";"";"";"";"25";0.08;0.4;"6691";"";"";"";"";"";"23";0.08;0.57
"sil";"Darius";"122";"TOP";2889;117;621;244;0.4795;0.215;0.0845;2.44;"8010";"9111";"9104";"8299";"8000";"8010";"9111";"8400";"5002";"5008";"5005";"6";"4";186;0.76;0.5;"4";"6";"48";"0.2";"0.44";"1";"3";"2";212;0.87;0.51;"1054";"2003";"";"";"";"";"";"";85;0.35;0.44;"1054";"2003";"3340";"";"";"";"";"";62;0.25;0.58;"3047";145;0.59;0.47;"3111";85;0.35;0.55;"6631";"";"";"";"";"";"32";0.13;0.22;"6631";"3742";"";"";"";"";"26";0.11;0.42;"3078";"3742";"";"";"";"";"13";0.05;0.54
"sil";"Nidalee";"76";"TOP";2889;9;127;14;0.6429;0.044;0.0048;2.3;"8437";"8446";"8473";"8242";"8400";"8437";"8446";"8000";"5002";"5008";"5005";"14";"4";6;0.43;0.67;"4";"14";"3";"0.21";"0.33";"3";"1";"2";9;0.64;0.78;"1055";"2003";"";"";"";"";"";"";7;0.5;0.86;"1055";"2003";"3340";"";"";"";"";"";3;0.21;0.33;"3047";7;0.5;0.71;"3111";3;0.21;0.67;"3087";"";"";"";"";"";"1";0.07;1.0;"6632";"3153";"";"";"";"";"1";0.07;1.0;"6632";"3110";"4637";"3068";"8020";"";"1";0.07;1.0
"sil";"Belveth";"200";"TOP";2889;3;26;6;0.5;0.009;0.0021;1.85;"8010";"9111";"9104";"8014";"8000";"8010";"9111";"8400";"5002";"5008";"5008";"12";"4";5;0.83;0.4;"14";"4";"1";"0.17";"1";"1";"3";"2";2;0.33;0.5;"1055";"2003";"3340";"";"";"";"";"";3;0.5;0.67;"1055";"2003";"";"";"";"";"";"";1;0.17;1.0;"3047";3;0.5;0.33;"3111";1;0.17;1.0;"3153";"6662";"";"";"";"";"2";0.33;0.5;"3074";"";"";"";"";"";"1";0.17;1.0;"6672";"3124";"3181";"6333";"3074";"3072";"1";0.17;1.0
"sil";"Morgana";"25";"TOP";2889;2;327;4;0.5;0.1132;0.0014;1.3;"8229";"8226";"8210";"8237";"8200";"8112";"8126";"8200";"5002";"5008";"5008";"14";"4";2;0.5;0.5;"12";"4";"1";"0.25";"1";"2";"1";"3";4;1.0;0.5;"1056";"2003";"2003";"3364";"";"";"";"";1;0.25;1.0;"1056";"2003";"2003";"";"";"";"";"";1;0.25;1.0;"3020";1;0.25;1.0;"3047";1;0.25;1.0;"6653";"";"";"";"";"";"2";0.5;0.5;"3084";"6667";"3119";"";"";"";"1";0.25;0.0;"";"";"";"";"";"";"1";0.25;1.0
"sil";"Camille";"164";"TOP";2889;45;18;91;0.4945;0.0062;0.0315;2.43;"8437";"8401";"8473";"8242";"8400";"8437";"8401";"8300";"5002";"5008";"5005";"14";"12";49;0.54;0.51;"12";"4";"17";"0.19";"0.53";"1";"3";"2";76;0.84;0.51;"1054";"2003";"";"";"";"";"";"";38;0.42;0.45;"1054";"2003";"3340";"";"";"";"";"";28;0.31;0.46;"3047";48;0.53;0.44;"3111";28;0.31;0.57;"6632";"";"";"";"";"";"23";0.25;0.35;"6632";"3074";"";"";"";"";"12";0.13;0.17;"6632";"3074";"6333";"";"";"";"9";0.1;0.44
"sil";"Lux";"99";"TOP";2889;2;350;2;1.0;0.1211;0.0007;4.75;"8229";"8226";"8233";"8237";"8200";"8229";"8226";"8300";"5002";"5008";"5007";"12";"4";2;1.0;1.0;"";"";"1";"0.5";"0";"3";"1";"2";1;0.5;1.0;"1056";"2003";"2003";"3340";"";"";"";"";2;1.0;1.0;"";"";"";"";"";"";"";"";1;0.5;0.0;"3158";1;0.5;1.0;"";1;0.5;0.0;"6655";"4645";"";"";"";"";"1";0.5;1.0;"";"";"";"";"";"";"1";0.5;1.0;"";"";"";"";"";"";"1";0.5;0.0
"sil";"Zilean";"26";"TOP";2889;1;8;2;0.5;0.0028;0.0007;1.92;"8229";"8226";"8210";"8237";"8200";"8229";"8226";"8000";"5002";"5008";"5008";"4";"12";1;0.5;1.0;"12";"4";"1";"0.5";"0";"1";"2";"3";1;0.5;1.0;"1056";"3340";"2003";"2003";"";"";"";"";1;0.5;1.0;"1056";"2003";"2003";"3340";"";"";"";"";1;0.5;0.0;"3158";2;1.0;0.5;"";1;0.5;0.0;"6657";"3157";"";"";"";"";"1";0.5;1.0;"6656";"3157";"";"";"";"";"1";0.5;0.0;"";"";"";"";"";"";"1";0.5;0.0
"sil";"Braum";"201";"TOP";2889;0;7;1;0.0;0.0024;0.0003;1.5;"8437";"8463";"8473";"8451";"8400";"8437";"8463";"8300";"5001";"5002";"5007";"12";"4";1;1.0;0.0;"";"";"1";"1";"0";"1";"3";"2";1;1.0;0.0;"1054";"2003";"3340";"";"";"";"";"";1;1.0;0.0;"";"";"";"";"";"";"";"";1;1.0;0.0;"3047";1;1.0;0.0;"";1;1.0;0.0;"3084";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0;"";"";"";"";"";"";"1";1.0;0.0
"sil";"Chogath";"31";"TOP";2889;15;4;32;0.4688;0.0014;0.0111;1.97;"8437";"8446";"8429";"8451";"8400";"8437";"8446";"8000";"5002";"5002";"5005";"12";"4";21;0.66;0.43;"4";"12";"10";"0.31";"0.6";"3";"1";"2";13;0.41;0.46;"1056";"2003";"2003";"";"";"";"";"";8;0.25;0.75;"1056";"2003";"2003";"3340";"";"";"";"";7;0.22;0.43;"3047";23;0.72;0.48;"3111";9;0.28;0.44;"3084";"3068";"";"";"";"";"4";0.12;0.75;"3084";"";"";"";"";"";"4";0.12;0.25;"3084";"3068";"3075";"";"";"";"3";0.09;0.33
