"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"";"TahmKench";"";"";5425;108;0;231;0.4675;0.0;0.0426;3.81;"8437";"8401";"8444";"8451";"8400";"9105";"9111";"8000";"5002";"5003";"5005";"32";"4";196;0.85;0.49;"4";"6";"3";"0.01";"0.33";"1";"2";"3";125;0.54;0.49;"1011";"1028";"2003";"2003";"";"";"";"";72;0.31;0.47;"2051";"3070";"2003";"";"";"";"";"";25;0.11;0.44;"3111";128;0.55;0.44;"3047";67;0.29;0.55;"3084";"3068";"";"";"";"";"13";0.06;0.54;"3084";"3068";"3075";"";"";"";"13";0.06;0.54;"3084";"3068";"3083";"";"";"";"9";0.04;0.67
"";"Seraphine";"";"";5425;168;0;323;0.5201;0.0;0.0595;5.37;"8128";"8126";"8138";"8106";"8100";"8014";"8009";"8000";"5002";"5008";"5008";"3";"4";200;0.62;0.49;"13";"4";"24";"0.07";"0.54";"1";"3";"2";125;0.39;0.53;"3802";"1001";"";"";"";"";"";"";182;0.56;0.51;"4642";"3070";"2003";"";"";"";"";"";44;0.14;0.48;"3158";201;0.62;0.52;"3020";103;0.32;0.54;"6653";"3116";"4637";"";"";"";"21";0.07;0.52;"6653";"3116";"";"";"";"";"19";0.06;0.68;"6653";"";"";"";"";"";"12";0.04;0.33
"";"Draven";"";"";5425;155;0;330;0.4697;0.0;0.0608;3.34;"8008";"8009";"9103";"8014";"8000";"8139";"8135";"8100";"5002";"5008";"5005";"1";"4";140;0.42;0.48;"4";"6";"23";"0.07";"0.39";"1";"2";"3";213;0.65;0.49;"3057";"1036";"1001";"2003";"";"";"";"";86;0.26;0.44;"3134";"1001";"";"";"";"";"";"";55;0.17;0.38;"3006";211;0.64;0.44;"3111";53;0.16;0.53;"3508";"3031";"3072";"";"";"";"16";0.05;0.62;"3508";"3031";"";"";"";"";"15";0.05;0.4;"3078";"6676";"3072";"";"";"";"8";0.02;0.5
"";"Senna";"";"";5425;254;0;516;0.4922;0.0;0.0951;5.17;"8008";"8009";"9104";"8014";"8000";"8139";"8135";"8100";"5002";"5008";"5005";"4";"6";378;0.73;0.52;"1";"4";"34";"0.07";"0.47";"1";"2";"3";333;0.65;0.53;"3070";"1036";"1036";"1001";"";"";"";"";197;0.38;0.56;"6670";"2003";"2003";"";"";"";"";"";67;0.13;0.49;"3006";279;0.54;0.44;"3009";169;0.33;0.56;"6692";"3004";"3094";"";"";"";"36";0.07;0.47;"6692";"3004";"";"";"";"";"23";0.04;0.39;"6672";"3124";"";"";"";"";"11";0.02;0.36
"";"Nidalee";"";"";5425;309;0;615;0.5024;0.0;0.1134;5.59;"8128";"8143";"8138";"8135";"8100";"8014";"8009";"8000";"5002";"5008";"5008";"32";"4";458;0.74;0.5;"13";"4";"48";"0.08";"0.52";"1";"3";"2";384;0.62;0.51;"3802";"1001";"";"";"";"";"";"";389;0.63;0.5;"3145";"1001";"2003";"";"";"";"";"";34;0.06;0.5;"3020";541;0.88;0.5;"3158";26;0.04;0.58;"6655";"4645";"";"";"";"";"37";0.06;0.49;"6655";"4645";"3089";"";"";"";"33";0.05;0.55;"6655";"";"";"";"";"";"24";0.04;0.67
"";"Lucian";"";"";5425;285;0;609;0.468;0.0;0.1123;3.44;"8005";"8009";"9104";"8014";"8000";"8139";"8135";"8100";"5002";"5008";"5005";"1";"4";282;0.46;0.5;"4";"7";"35";"0.06";"0.43";"1";"3";"2";370;0.61;0.47;"6670";"2003";"2003";"";"";"";"";"";234;0.38;0.46;"6670";"";"";"";"";"";"";"";72;0.12;0.56;"3006";312;0.51;0.47;"3111";113;0.19;0.44;"6672";"6675";"3072";"";"";"";"31";0.05;0.52;"6672";"6675";"";"";"";"";"30";0.05;0.43;"6672";"6675";"3072";"3036";"";"";"24";0.04;0.46
"";"Caitlyn";"";"";5425;340;0;687;0.4949;0.0;0.1266;3.88;"8008";"8009";"9103";"8014";"8000";"8135";"8139";"8100";"5002";"5008";"5005";"4";"6";313;0.46;0.48;"4";"7";"43";"0.06";"0.51";"1";"2";"3";377;0.55;0.52;"6670";"2003";"2003";"";"";"";"";"";191;0.28;0.48;"3134";"1001";"";"";"";"";"";"";154;0.22;0.53;"3006";452;0.66;0.5;"3158";133;0.19;0.55;"6691";"6676";"6696";"";"";"";"19";0.03;0.58;"3095";"3031";"3094";"";"";"";"19";0.03;0.47;"3095";"3031";"3094";"3036";"";"";"18";0.03;0.72
"";"Garen";"";"";5425;142;0;303;0.4686;0.0;0.0559;3.08;"8010";"9111";"9105";"8299";"8000";"8429";"8451";"8400";"5002";"5008";"5008";"32";"4";267;0.88;0.49;"4";"6";"6";"0.02";"0";"3";"1";"2";158;0.52;0.51;"6029";"1001";"";"";"";"";"";"";79;0.26;0.46;"2051";"1001";"2031";"";"";"";"";"";43;0.14;0.47;"3111";167;0.55;0.49;"3047";68;0.22;0.41;"6631";"3742";"";"";"";"";"10";0.03;0.7;"6631";"3742";"4401";"";"";"";"7";0.02;0.43;"6631";"4401";"";"";"";"";"7";0.02;0.57
"";"Orianna";"";"";5425;169;0;318;0.5314;0.0;0.0586;5.05;"8128";"8126";"8138";"8106";"8100";"8014";"8009";"8000";"5002";"5008";"5008";"4";"6";208;0.65;0.53;"32";"4";"35";"0.11";"0.51";"1";"2";"3";210;0.66;0.54;"3802";"1001";"";"";"";"";"";"";193;0.61;0.54;"3802";"2031";"";"";"";"";"";"";14;0.04;0.43;"3020";273;0.86;0.52;"3158";15;0.05;0.6;"6655";"4645";"";"";"";"";"19";0.06;0.37;"6655";"4645";"3089";"";"";"";"16";0.05;0.69;"6655";"3003";"4645";"";"";"";"13";0.04;0.15
"";"Soraka";"";"";5425;188;0;355;0.5296;0.0;0.0654;5.81;"8214";"8226";"8210";"8237";"8200";"8473";"8453";"8400";"5002";"5008";"5008";"13";"4";169;0.48;0.54;"3";"4";"57";"0.16";"0.6";"2";"1";"3";126;0.35;0.65;"4642";"3070";"2003";"";"";"";"";"";149;0.42;0.52;"4642";"1028";"2003";"";"";"";"";"";29;0.08;0.69;"3158";237;0.67;0.51;"3111";16;0.05;0.5;"6617";"3083";"";"";"";"";"59";0.17;0.41;"6617";"3083";"3003";"";"";"";"31";0.09;0.61;"6617";"3083";"3003";"3107";"";"";"19";0.05;0.79
